OPP TEAM,ODK,PLAY #,QTR,SERIES,HASH,DN,DIST,YARD LN,FZ,SIT,PERSONNEL,MOTION,OFF FORM,FORM LT/RT,FIB,BACKFIELD,FORM CODE,PLAY TYPE,PLAY TYPE 2,OFF PLAY,RUN TAG,PLAY DIR,SCR TAG,GAP,ROUTE CONCEPT,ROUTE 2,RESULT,BC,PASS ZONE,COVERAGE,DEF FRONT,PROTECTION (D),GN/LS,SERIES END,PENALTY
KINGS,D,14,1,1,R,0,10,-24,UPFIELD,,21,,PRO,RT,YES,PISTOL KING,12,Run,,STRETCH,,R,,D,,,Rush,R,,6,OVER,,0,,
KINGS,D,16,1,1,R,2,10,-24,UPFIELD,,10,,DOUBLES,LT,,WEAK,23,Pass,,5 STEP,,,,,SHILO,,Incomplete,Y,3,HOT,OVER,6A3F,0,,
KINGS,D,18,1,1,R,3,10,-24,UPFIELD,,10,,DOUBLES,LT,,WEAK,23,Pass,,5 STEP,,,,,SMASH RET,,Complete,X,3,SOLO,CAT,6A0F,4,PUNT,
KINGS,D,30,1,2,L,0,10,40,GREEN ZONE,,11Q,,WOLF,LT,,STRONG,23,Run,,Q STRETCH,,L,,D,,,Rush,Q,,4,OVER,,2,,
KINGS,D,32,1,2,L,2,8,38,GREEN ZONE,,21,,SLOT TY,LT,,PISTOL,21,Run,,STRETCH,,L,,C,,,Rush,R,,BRACKET,OVER,,4,,
KINGS,D,34,1,2,L,3,4,34,GREEN ZONE,,10,,DOUBLES,RT,,STRONG,22,Pass,,5 STEP,,,,,HOSS,,Complete,J,9,MATCH,OVER,6A3B,32,,
KINGS,D,36,1,2,L,1,2,2,GOALLINE,,22Q,,BOX,LT,,PISTOL QUEEN,21,Run,,Q ISO,,R,,C,,,Rush,Q,,SOLO,PANTHER,,2,TD,
KINGS,D,72,1,3,L,0,10,-30,UPFIELD,,21,,PRO,LT,YES,PISTOL KING,12,Run,,POWER,,L,,C,,,Rush,R,,6,OVER,,12,,
KINGS,D,74,1,3,L,1,10,-42,UPFIELD,,11Q,,TREY,LT,,STRONG,32,Run,,WRAP T,,R,,B,,,Rush,R,,4,OVER,,2,,
KINGS,D,76,1,3,L,2,8,-44,UPFIELD,,21,,PRO,LT,YES,PISTOL KING,12,Run,,STRETCH,,L,,E-Alley,,,Rush,R,,HOT,OVER,,3,,
