OPP TEAM,ODK,PLAY #,QTR,SERIES,HASH,DN,DIST,YARD LN,FZ,SIT,PERSONNEL,MOTION,OFF FORM,FORM LT/RT,FIB,BACKFIELD,FORM CODE,PLAY TYPE,PLAY TYPE 2,OFF PLAY,RUN TAG,PLAY DIR,SCR TAG,GAP,ROUTE CONCEPT,ROUTE 2,RESULT,BC,PASS ZONE,COVERAGE,DEF FRONT,PROTECTION (D),GN/LS,SERIES END,PENALTY
KINGS,D,78,1,3,L,3,5,-47,UPFIELD,,10,,DOUBLES,RT,,WEAK,23,Pass,,5 STEP,,,,,SHILO,,Complete,J,2,MUSTANG,CAT,60 MAN,15,FUMBLE,
KINGS,D,90,1,4,L,0,10,-32,UPFIELD,,21,,PRO CUT,RT,,PISTOL KING,21,Run,,ISO DRAW,,R,,B,,,Rush,R,,4,OVER,,-3,,
KINGS,D,92,2,4,M,2,13,-29,UPFIELD,,21,,PRO,LT,YES,PISTOL QUEEN,12,Pass,,5 STEP,,,,,DBL GO,,Incomplete,Z,9,6,OVER,7A2B,0,,
KINGS,D,94,2,4,M,3,13,-29,UPFIELD,,10,,DOUBLES,RT,,WEAK,23,Pass,,5 STEP,,,,,HOSS,,Incomplete,J,6,4,OVER,6A3F,0,PUNT,
KINGS,D,120,2,5,L,0,10,-38,UPFIELD,,11Q,,TOM,RT,,STRONG,41,Pass,TRICK,SOP,,R,,,STUTTER & GO,,Incomplete,Z,1,4,OVER,,0,,
KINGS,D,122,2,5,L,2,10,-38,UPFIELD,,11Q,,TOM,RT,,STRONG,41,Pass,SCR,SOP ROCKET,,,,,,,Complete,X,3,7,OVER,,21,,
KINGS,D,124,2,5,L,1,10,41,UPFIELD,,10,,DOUBLES,RT,,STRONG,22,Run,,MZ,,L,,A,,,Rush,R,,4,OVER,,-1,,
KINGS,D,126,2,5,M,2,11,42,UPFIELD,,21,,PRO,RT,,PISTOL KING,21,Run,,ISO,,R,,C,,,Rush,R,,TRAP,OVER,,3,,
KINGS,D,128,2,5,R,3,8,39,GREEN ZONE,,10,,DOUBLES,LT,,WEAK,23,Pass,,5 STEP,,,,,SHILO,,Complete,Y,3,8,CAT,60 MAN,9,,
KINGS,D,130,2,5,R,1,10,30,GREEN ZONE,,10,,DOUBLES,LT,,WEAK,23,Pass,,5 STEP,,,,,HOSS,,Incomplete,J,9,4,OVER,6A2F,0,,
KINGS,D,132,2,5,R,2,10,30,GREEN ZONE,,10,,DOUBLES,LT,,WEAK,23,Pass,,5 STEP,,,,,SMASH,HASH,Complete,R,2,HOT,OVER,6A3F,12,,
KINGS,D,134,2,5,R,1,10,18,RED ZONE,,10,,DOUBLES,LT,,WEAK,23,Pass,,5 STEP,,,,,SMASH RET,,Incomplete,X,3,4,OVER,6A3F,0,,
KINGS,D,136,2,5,R,2,10,18,RED ZONE,,10,,DOUBLES,LT,,WEAK,23,Pass,,5 STEP,,,,,SMASH,HASH,Interception,J,8,4,OVER,6A2F,0,INT,
KINGS,D,152,2,6,L,0,10,43,UPFIELD,,11Q,,WOLF,LT,,STRONG,23,Run,,Q STRETCH,,L,,A,,,Rush,Q,,BRACKET,OVER,,6,,
KINGS,D,154,2,6,L,2,4,37,GREEN ZONE,,11Q,,WOLF,LT,,STRONG,23,Run,,Q WRAP T LEAD,,R,,A,,,Rush,Q,,TRAP,OVER,,1,,
KINGS,D,156,2,6,L,3,3,36,GREEN ZONE,,11Q,,WOLF,LT,,STRONG,23,Run,,Q STRETCH,,L,,D,,,Rush,Q,,MUSTANG,OVER,,31,,
KINGS,D,158,2,6,L,1,5,5,GOALLINE,,11Q,,WOLF,LT,,STRONG,23,Run,,Q STRETCH,,L,,B,,,Rush,Q,,0,PANTHER,,5,TD,
KINGS,D,191,2,7,L,0,10,-30,UPFIELD,,10,,DOUBLES,RT,,STRONG,22,Run,,DRAW,,R,,B,,,Fumble,R,,8,CAT,,-5,FUMBLE,
KINGS,D,197,3,8,L,0,10,-35,UPFIELD,,11Q,,TREY,LT,,STRONG,32,Pass,,SOP,,R,,,CROSS,BENCH,Scramble,X,1,7,OVER,REACH,0,,
KINGS,D,199,3,8,L,2,10,-35,UPFIELD,,11Q,,WOLF,LT,,STRONG,23,Run,,Q STRETCH,,L,,B,,,Rush,Q,,BRACKET,OVER,,18,,
KINGS,D,201,3,8,L,1,10,47,UPFIELD,,11Q,,WOLF,LT,,STRONG,23,Run,,Q WRAP T LEAD,,R,,B,,,Rush,Q,,TRAP,OVER,,2,,
KINGS,D,203,3,8,M,2,8,45,UPFIELD,,11Q,,WOLF,LT,,STRONG,23,Run,,Q STRETCH,,L,,A,,,Rush,Q,,BRACKET,OVER,,-10,,
KINGS,D,205,3,8,L,2,18,-45,UPFIELD,,11Q,,WOLF,LT,,STRONG,23,Pass,,5 STEP,,,,,SMASH RET,,Scramble,Q,,4,OVER,6A2F,2,,
KINGS,D,207,3,8,R,3,16,-47,UPFIELD,,10,,DOUBLES,LT,,WEAK,23,Pass,,5 STEP,,,,,STICKS,COMEBACK,Complete,X,6,4,CAT,60 MAN,14,,
KINGS,D,209,3,8,R,4,2,39,GREEN ZONE,,11Q,,WOLF,RT,,STRONG,23,Run,,Q ISO,,R,,C,,,Rush,Q,,MATCH,OVER,,6,,
KINGS,D,211,3,8,R,1,10,33,GREEN ZONE,,21,,PRO,RT,YES,PISTOL KING,12,Run,,STRETCH,,R,,D,,,Rush,R,,6,OVER,,2,,
KINGS,D,213,3,8,R,2,8,31,GREEN ZONE,,21,,PRO,RT,YES,PISTOL KING,12,Pass,,5 STEP,,,,,DBL COMEBACK,,Sack,Q,,HOT,OVER,7A2F,-9,,
KINGS,D,215,3,8,R,3,17,40,GREEN ZONE,,10,,DOUBLES,LT,,WEAK,23,Pass,,5 STEP,,,,,STICKS,COMEBACK,Complete,R,2,8,CAT,60 MAN,3,PUNT,
KINGS,D,227,3,9,R,0,10,-46,UPFIELD,,21,,PRO,RT,YES,PISTOL KING,12,Pass,,5 STEP,,,,,HITCH,CROSS,Complete,Y,8,6,OVER,7A1F,22,,
KINGS,D,229,3,9,L,1,10,32,GREEN ZONE,,11Q,,WOLF,LT,,STRONG,23,Run,,Q STRETCH,,L,,E-Alley,,,Rush,Q,,6,OVER,,0,,
KINGS,D,231,3,9,L,2,10,32,GREEN ZONE,,11Q,,WOLF,LT,,STRONG,23,Pass,,5 STEP,,,,,SMASH,,Incomplete,Z,1,BRACKET,OVER,6A2F,0,,
KINGS,D,233,3,9,L,3,10,32,GREEN ZONE,,10,,DOUBLES,RT,,STRONG,22,Pass,,5 STEP,,,,,SHILO,,Incomplete,R,1,8,CAT,60 MAN,0,,
KINGS,D,239,3,9,L,3,10,32,GREEN ZONE,,10,,DOUBLES,RT,,STRONG,22,Pass,,5 STEP,,,,,SHILO,,Complete,Y,3,8,CAT,60 MAN,7,,
KINGS,D,241,3,9,L,4,3,25,RED ZONE,,10,,DOUBLES,RT,,STRONG,22,Pass,,5 STEP,,,,,MESH GO,,Complete,J,2,MATCH,CAT,60 MAN,14,,
KINGS,D,243,3,9,R,1,10,11,RED ZONE,,10,,DOUBLES,LT,,WEAK,23,Pass,,5 STEP,,,,,SHILO,,Incomplete,Y,5,BRACKET,OVER,6A3F,0,,
KINGS,D,245,3,9,R,2,10,11,RED ZONE,,10,,DOUBLES,LT,,WEAK,23,Pass,,5 STEP,,,,,SMASH,HASH,Incomplete,J,8,BRACKET,OVER,6A3F,0,,
KINGS,D,247,3,9,R,3,10,11,RED ZONE,,10,,DOUBLES,LT,,WEAK,23,Pass,,5 STEP,,,,,SMASH RET,,Complete,Z,1,BRACKET,OVER,6A2F,2,,
KINGS,D,249,3,9,L,4,8,9,RED ZONE,,10,,DOUBLES,RT,,STRONG,22,Pass,,5 STEP,,,,,CROSS,SMASH,Complete,R,2,BRACKET,OVER,6T2F,7,DOWNS,
KINGS,D,263,3,10,L,0,10,26,GREEN ZONE,,11Q,,TOM,RT,,STRONG,41,Run,,Q DRAW,,L,,B,,,Rush,Q,,7,OVER,,0,,
KINGS,D,265,3,10,L,2,10,26,GREEN ZONE,,11,,TOM,RT,,STRONG,41,Pass,,5 STEP,,,,,HASH SEAM,HITCH,Incomplete,J,8,7,OVER,6T3F,0,,
KINGS,D,267,3,10,L,3,10,26,GREEN ZONE,,11,,TOM,RT,,STRONG,41,Pass,,5 STEP,,,,,SHILO,,Complete,X,6,7,OVER,6T3F,13,,
KINGS,D,269,4,10,L,1,10,13,RED ZONE,,11Q,,TOM,RT,,STRONG,41,Pass,,SOP,,R,,,SMASH,,Sack,Q,,MATCH,CAT,SPRINT,-14,,
KINGS,D,271,4,10,R,2,24,27,GREEN ZONE,,21Q,,PRO CUT,LT,,PISTOL QUEEN,21,Pass,,5 STEP,,,,,CROSS,HITCH,Scramble,Q,,4,OVER,7A3F,10,,
KINGS,D,273,4,10,L,3,14,17,RED ZONE,,11Q,,TOM,RT,,STRONG,41,Pass,TRICK,SOP Y DELAY,,,,,,,Interception,Y,3,4,OVER,,0,INT / TD,
WILKES,D,2,1,1,R,0,10,-42,UPFIELD,,11Q,,TOM,LT,,STRONG,41,Pass,,4 STEP,,,,,COLT SEAM,SPEED,Sack,Q,,6,OVER,6T2F,-5,,
WILKES,D,3,1,1,R,2,15,-37,UPFIELD,,21Q,,PRO,LT,,PISTOL QUEEN,21,Run,,ISO DRAW,,L,,A,,,Rush,R,,6,OVER,,2,,
WILKES,D,4,1,1,R,3,13,-39,UPFIELD,,21Q,,PRO CUT,LT,,PISTOL QUEEN,21,Pass,,5 STEP,,,,,DBL COMEBACK,,Complete,Z,4,6,OVER,6A3F,14,,
WILKES,D,5,1,1,L,1,10,47,UPFIELD,,11Q,,TOM,RT,,STRONG,41,Run,,Q DRAW,,R,,B,,,Rush,Q,,6,OVER,,2,,
WILKES,D,6,1,1,R,2,8,45,UPFIELD,,10,,DOUBLES,LT,,PISTOL,22,Pass,,5 STEP,,,,,VERTS,,Complete,R,2,3,FIELD,61F,1,,
WILKES,D,7,1,1,M,3,7,44,UPFIELD,,11Q,,TOM,RT,,STRONG,41,Run,,Q ISO,,R,,A,,,Rush,Q,,6,BENCH,,3,,
WILKES,D,8,1,1,M,4,4,41,UPFIELD,,10,,DOUBLES,RT,,PISTOL,22,Pass,,5 STEP,,,,,SHILO,,Complete,J,2,6,BENCH,61F,8,,
WILKES,D,9,1,1,R,1,10,33,GREEN ZONE,,21Q,Z MESH,BONE,LT,YES,INVERT,11,Run,,Z STRETCH,,L,,C,,,Rush,Z,,6,OVER,,0,,
WILKES,D,10,1,1,M,2,10,33,GREEN ZONE,,21Q,,PRO,RT,,PISTOL KING,21,Pass,,5 STEP,,,,,CROSS,HITCH,Complete,Z,8,6,OVER,6A2B,33,TD,
WILKES,D,24,1,2,R,0,10,-26,UPFIELD,,21Q,Z MESH,BONE,LT,YES,INVERT,11,Run,,ISO DRAW,,L,,A,,,Rush,R,,6,EVEN,,5,,
WILKES,D,25,1,2,M,2,5,-31,UPFIELD,,21Q,Z MESH,BONE,RT,,INVERT,11,Pass,,PAP,,,,,GO,BASIC,Complete,Y,5,6,OVER,6A2B,16,,
WILKES,D,26,1,2,L,1,10,-47,UPFIELD,,21Q,Z MESH,BONE,RT,YES,INVERT,11,Run,,Q ISO,,R,,B,,,Rush,Q,,6,OVER,,2,,
WILKES,D,27,1,2,L,2,8,-49,UPFIELD,,21Q,Z MESH,BONE,RT,YES,INVERT,11,Run,,WRAP T,LEAD,L,,B,,,Rush,R,,6,BENCH,,2,,
WILKES,D,28,1,2,L,3,6,49,UPFIELD,,10,,DOUBLES,RT,,PISTOL,22,Pass,,5 STEP,,,,,SHILO,,Incomplete,J,1,6,OVER,62B,0,PUNT,
WILKES,D,41,2,3,R,0,10,-21,UPFIELD,,21Q,,PRO CUT,LT,,PISTOL QUEEN,21,Pass,,5 STEP,,,,,CROSS,HITCH,Incomplete,Y,8,6,OVER,7A3F,0,,
WILKES,D,42,2,3,R,2,10,-21,UPFIELD,,10,,DOUBLES,LT,,PISTOL,22,Pass,,5 STEP,,,,,SHILO,,Complete,J,2,3,FIELD,61F,2,,
WILKES,D,43,2,3,M,3,8,-23,UPFIELD,,21Q,,PRO CUT,RT,,PISTOL KING,21,Pass,,5 STEP,,,,,POCO,HITCH,Scramble,Q,,6,OVER,6A2B,10,,
WILKES,D,44,2,3,M,1,10,-33,UPFIELD,,21Q,Z MESH,BONE,RT,YES,INVERT,11,Run,,ISO,,R,,A,,,Rush,R,,6,OVER,,2,,
WILKES,D,45,2,3,M,2,8,-35,UPFIELD,,21Q,,PRO CUT,RT,,PISTOL KING,21,Pass,,5 STEP,,,,,DBL COMEBACK,,Scramble,Q,,6,OVER,7A2F,4,,
WILKES,D,46,2,3,M,3,4,-39,UPFIELD,,10,,DOUBLES,LT,,PISTOL,22,Pass,,5 STEP,,,,,VERTS,,Complete,R,2,3,FIELD,61F,4,,
WILKES,D,47,2,3,L,1,10,-43,UPFIELD,,21Q,,PRO CUT,RT,,PISTOL KING,21,Pass,,5 STEP,,,,,VIPER,,Incomplete,F,1,6,BENCH,7A2B,0,,
WILKES,D,48,2,3,L,2,10,-43,UPFIELD,,11,,TREY TIGHT,LT,,PISTOL,32,Pass,,5 STEP,,,,,SHILO,,Incomplete,Y,2,FIRE,CAT,60 MAN,0,,
WILKES,D,49,2,3,L,3,10,-43,UPFIELD,,10,,DOUBLES,RT,,PISTOL,22,Pass,,5 STEP,,,,,SMASH,,Incomplete,X,3,2,OVER,62F,0,PUNT,
WILKES,D,60,2,4,L,0,10,-20,UPFIELD,,11Q,,TOM,RT,,STRONG,41,Run,,Q ISO,,R,,,,,Rush,R,,6,BENCH,,1,,
WILKES,D,61,2,4,M,2,9,-21,UPFIELD,,10,,DOUBLES,LT,,PISTOL,22,Pass,,5 STEP,,,,,SMASH,,Complete,X,2,6,FIELD,61F,-10,,
WILKES,D,62,2,4,M,2,19,-11,BACKED UP,,10,,DOUBLES,RT,,PISTOL,22,Pass,,5 STEP,,,,,SMASH,HASH,Penalty,J,8,2,OVER,62F,-6,,
WILKES,D,63,2,4,M,2,25,-5,BACKED UP,,10,,DOUBLES,RT,,PISTOL,22,Pass,,5 STEP,,,,,SMASH,HASH,Complete,J,8,6,OVER,62B,21,,
WILKES,D,64,2,4,L,3,4,-26,UPFIELD,,10,,DOUBLES,RT,,PISTOL,22,Pass,,5 STEP,,,,,SHILO,,Complete,J,2,6,OVER,62B,3,,
WILKES,D,65,2,4,R,4,1,-29,UPFIELD,,11Q,,TOM,RT,,STRONG,41,Run,,Q ISO,,L,,C,,,Fumble,Q,,6,OVER,,2,FUMBLE,
WILKES,D,70,2,5,R,0,10,-27,UPFIELD,2M,10,,DOUBLES,RT,,PISTOL,22,Pass,,5 STEP,,,,,VERTS,,Complete,R,2,8,CAT,60 MAN,11,,
WILKES,D,71,2,5,R,1,10,-38,UPFIELD,2M,10,,DOUBLES,LT,,PISTOL,22,Pass,,5 STEP,,,,,VERTS,HOSS,Complete,X,3,8,CAT,60 MAN,6,,
WILKES,D,72,2,5,R,2,4,-44,UPFIELD,2M,10,,DOUBLES,LT,,PISTOL,22,Pass,,5 STEP,,,,,SMASH RET,,Incomplete,X,3,CLUB WEAK,CAT,60 MAN,0,,
WILKES,D,73,2,5,R,3,4,-44,UPFIELD,2M,10,,DOUBLES,LT,,PISTOL,22,Pass,,5 STEP,,,,,HASH,HASH UP,Incomplete,X,9,8,CAT,60 MAN,0,PUNT,
WILKES,D,85,3,6,M,0,10,-20,UPFIELD,,21Q,,PRO,LT,,PISTOL QUEEN,21,Pass,,4 STEP,,,,,HASH,HITCH,Scramble,Q,,6,OVER,7A3F,4,,
WILKES,D,86,3,6,L,2,6,-24,UPFIELD,,21,,PRO CUT,RT,,PISTOL KING,21,Pass,,5 STEP,,,,,CROSS,HITCH,Interception,Z,8,6,BENCH,7A1B,0,INT,
WILKES,D,94,3,7,L,0,15,-28,UPFIELD,,21,,SLOT,LT,,PISTOL KING,21,Run,,STRETCH,,L,,C,,,Rush,R,,6,OVER,,1,,
WILKES,D,95,3,7,L,2,14,-29,UPFIELD,,21,,PRO CUT,RT,,PISTOL KING,21,Pass,,5 STEP,,,,,CROSS,HITCH,Complete,Y,8,6,OVER,7A2B,20,,
WILKES,D,96,3,7,L,1,10,-49,UPFIELD,,21,,PRO CUT,RT,,PISTOL KING,21,Run,,ISO DRAW,,R,,C,,,Penalty,R,,6,BENCH,,-10,,
WILKES,D,97,3,7,L,1,20,-39,UPFIELD,,11,,TOM,RT,,STRONG,41,Pass,,5 STEP,,,,,SHILO,,Complete,X,2,6,OVER,6A2B,13,,
WILKES,D,98,3,7,R,2,7,48,UPFIELD,,11,,TOM,LT,,WEAK,32,Pass,,5 STEP,,,,,VERTS,,Complete,J,8,HOT,CAT,60 MAN,32,,
WILKES,D,99,3,7,M,1,10,16,RED ZONE,,21,,PRO,RT,,PISTOL KING,21,Run,,STRETCH,,R,,E-Alley,,,Rush,R,,6,BENCH,,2,,
WILKES,D,100,3,7,R,2,8,14,RED ZONE,,21,,PRO CUT,LT,,PISTOL QUEEN,21,Run,,5 STEP,,,,,POCO,,Complete,Z,7,6,OVER,7A3F,14,TD,
WILKES,D,115,3,8,R,0,10,-23,UPFIELD,,11,,TOM,LT,,STRONG,41,Pass,,4 STEP,,,,,COLT SEAM,SPEED,Complete,X,3,6,FIELD,6A1B,5,,
WILKES,D,116,3,8,R,2,5,-28,UPFIELD,,21,,PRO CUT,LT,,PISTOL QUEEN,21,Pass,,5 STEP,,,,,DBL GO,,Complete,Z,7,6,BENCH,7A3F,31,,
WILKES,D,117,3,8,L,1,10,41,UPFIELD,,21,,PRO CUT CON,RT,,PISTOL KING,21,Pass,,5 STEP,,,,,VIPER,,Complete,X,4,4,BENCH,6A1B,25,,
WILKES,D,118,4,8,R,1,10,16,RED ZONE,,21,,PRO CUT,LT,,PISTOL QUEEN,21,Pass,,5 STEP,,,,,GO,HITCH,Complete,X,7,4,OVER,7A3F,16,TD,
WILKES,D,119,4,8,M,0,3,3,GOALLINE,,11,,TOM CON,RT,,STRONG,41,2 Pt.,TRICK,SOP Y DELAY,,,,,,,Complete,Y,3,6,OVER,,3,,
WILKES,D,132,4,9,L,0,10,-25,UPFIELD,,11,,TOM,RT,,STRONG,41,Pass,,5 STEP,,,,,HASH SEAM,HITCH,Penalty,Z,1,2,OVER,6T2F,-10,,
WILKES,D,133,4,9,L,1,20,-15,BACKED UP,,11,,TOM,RT,,STRONG,41,Pass,,5 STEP,,,,,Y OPTION,HITCH,Incomplete,Y,5,8,CAT,60 MAN,0,,
WILKES,D,134,4,9,L,2,20,-15,BACKED UP,,21,,PRO CUT,RT,,PISTOL KING,21,Pass,,5 STEP,,,,,DBL GO,,Incomplete,X,6,2,OVER,63B,0,,
WILKES,D,135,4,9,L,3,20,-15,BACKED UP,,10,,DOUBLES,RT,,PISTOL,22,Pass,,5 STEP,,,,,J PIVOT,,Incomplete,Z,4,7,CAT,60 MAN,0,PUNT,
WILKES,D,147,4,10,R,0,10,-25,UPFIELD,,10,,DOUBLES,LT,,PISTOL,22,Pass,,5 STEP,,,,,SMASH,,Complete,X,3,8,CAT,60 MAN,3,,
WILKES,D,148,4,10,R,2,7,-28,UPFIELD,,10,,DOUBLES,LT,,PISTOL,22,Pass,,5 STEP,,,,,HASH UP,,Incomplete,X,9,8,CAT,60 MAN,0,,
WILKES,D,149,4,10,R,3,7,-28,UPFIELD,,10,,DOUBLES,LT,,PISTOL,22,Pass,,5 STEP,,,,,SWITCH,,Incomplete,J,6,8,CAT,60 MAN,0,,
WILKES,D,150,4,10,R,4,7,-28,UPFIELD,,10,,DOUBLES,LT,,PISTOL,22,Pass,,5 STEP,,,,,SHILO,,Scramble,Q,,8,CAT,60 MAN,0,DOWNS,
WILKES,D,156,4,11,R,0,15,-18,BACKED UP,2M,10,,DOUBLES,LT,,PISTOL,22,Run,,DRAW,,L,,B,,,Rush,R,,8,CAT,,5,,
WILKES,D,157,4,11,L,2,10,-23,UPFIELD,2M,10,,DOUBLES,RT,,PISTOL,22,Pass,,5 STEP,,,,,BENCH,,Incomplete,Z,1,8,DOG,60BS,0,,
WILKES,D,158,4,11,L,3,10,-23,UPFIELD,2M,10,,DOUBLES,RT,,PISTOL,22,Pass,,5 STEP,,,,,VERTS,,Penalty,Z,7,8,CAT,60B,15,,
WILKES,D,159,4,11,L,1,10,-38,UPFIELD,2M,10,,DOUBLES,RT,,PISTOL,22,Run,,DRAW,,R,,A,,,Rush,R,,8,DOG,,6,,
WILKES,D,160,4,11,L,2,4,-44,UPFIELD,2M,10,,DOUBLES,RT,,PISTOL,22,Pass,,5 STEP,,,,,CLEAR,VERTS,Incomplete,Z,5,8,CAT,60B,0,,
WILKES,D,161,4,11,L,3,4,-44,UPFIELD,2M,10,,DOUBLES,RT,,PISTOL,22,Run,,DRAW,,R,,C,,,Rush,R,,8,CAT,,0,,
WILKES,D,162,4,11,L,4,4,-44,UPFIELD,2M,10,,DOUBLES,RT,,PISTOL,22,Pass,,5 STEP,,,,,VERTS,,Complete,R,3,8,DOG,60B,4,,
WILKES,D,163,4,11,L,1,10,-48,UPFIELD,2M,10,,DOUBLES,RT,,PISTOL,22,Pass,,5 STEP,,,,,HASH,HOSS,Incomplete,J,9,8,CAT,60B,0,,
WILKES,D,164,4,11,L,2,10,-48,UPFIELD,2M,10,,DOUBLES,RT,,PISTOL,22,Pass,,5 STEP,,,,,VERTS,,Complete,R,2,3,CAT,60B,2,,
WILKES,D,165,4,11,R,3,8,50,UPFIELD,2M,10,,DOUBLES,LT,,PISTOL,22,Pass,,3 STEP,,,,,STICK,,Complete,R,2,8,CAT,6A0F,6,,
WILKES,D,166,4,11,M,4,2,44,UPFIELD,2M,10,,DOUBLES,RT,,STRONG,22,Pass,,5 STEP,,,,,CLEAR,VERTS,Complete,Z,5,8,TIGER,6A0B,7,,
WILKES,D,167,4,11,R,1,10,37,GREEN ZONE,2M,10,,DOUBLES,LT,,WEAK,23,Pass,,5 STEP,,,,,HOSS,,Incomplete,Y,8,8,CAT,6A0F,0,,
WILKES,D,168,4,11,R,2,10,37,GREEN ZONE,2M,10,,DOUBLES,LT,,WEAK,23,Pass,,5 STEP,,,,,VERT SWITCH,,Incomplete,J,9,8,CAT,6A0F,0,,
WILKES,D,169,4,11,R,3,10,37,GREEN ZONE,2M,10,,DOUBLES,LT,,PISTOL,22,Run,,DRAW,,L,,A,,,Rush,R,,8,CAT,,4,,
WILKES,D,170,4,11,R,4,6,33,GREEN ZONE,2M,10,,DOUBLES,RT,,PISTOL,22,Pass,,5 STEP,,,,,CLEAR,VERTS,Complete,Z,5,4 DEEP,CAT,60B,7,GAME,
