OPP TEAM,ODK,PLAY #,QTR,SERIES,HASH,DN,DIST,YARD LN,GN/LS,FZ,SIT,PERSONNEL,MOTION,OFF FORM,FORM LT/RT,FIB,BACKFIELD,FORM CODE,PLAY TYPE,PLAY TYPE 2,OFF PLAY,RUN TAG,PLAY DIR,SCR TAG,ROUTE CONCEPT,ROUTE 2,RESULT,GAP,BC,PASS ZONE,COVERAGE,PROTECTION (D),DEF FRONT,STUNT,BLITZ,POST SACK,SERIES END,LAUNCH PT,LAUNCH TIME,ESCAPE PTS,2&10,PEN +/-,PENALTY,T & 10
WCSU,D,100,3,6,R,1,10,29,9,GREEN ZONE,,21,Y ACROSS,WOLF OFF,RT,,STRONG,22,Run,,COUNTER,,L,,,,Rush,A,T,,2,,OVER,,,,,,,,,,,
WCSU,D,101,3,6,M,2,1,20,1,RED ZONE,,21,YOYIN,FOX,LT,,QUEEN,21,Run,,POWER,,R,,,,Rush,A,T,,3,,OVER,,,,,,,,,,,
WCSU,D,102,3,6,M,1,10,19,0,RED ZONE,,21,Y ACROSS,WOLF OFF,RT,,WEAK,22,Pass,,WAGGLE,IZ,R,,CROSS DRAG,,Incomplete,,,8,1,63TB,OVER,,,,,7RT,378,,,,,
WCSU,D,103,3,6,M,2,10,19,19,RED ZONE,,21,Y ACROSS,WOLF OFF,RT,,WEAK,22,Pass,,3 STEP,,L,,HITCH,,Complete,,Z,4,3,62TBS,OVER,,,,TD,6OC,125,,I,,,
WCSU,D,106,3,7,L,0,10,43,0,MIDFIELD,,21,,FOX,RT,,QUEEN,21,Pass,,PAP,POWER,L,,HITCH,SLANT,Interception,,X,1,3,,OVER,,,,INT,6OC,134,,,,,
WCSU,D,119,4,7,L,0,10,-24,0,UPFIELD,,21,Y ACROSS,TOM OFF,RT,,STRONG,31,Run,,COUNTER,,L,,,,Rush,C,T,,1,,OVER,,,,,,,,,,,
WCSU,D,120,4,8,L,2,10,-24,0,UPFIELD,,21,YOYO,WOLF OFF,LT,,STRONG,22,Pass,,PAP,IZ,R,,VERT,,Incomplete,,,9,1,63AF,OVER,,,,,9RT,344,,R,,,
WCSU,D,122,4,8,L,3,10,-24,24,UPFIELD,,20,,TRIPS,RT,,WEAK,31,Pass,,5 STEP,,R,,BUBBLE/GO,,Complete,,Z,9,2,62AF,OVER,,,,,8RG,225,,,,,
WCSU,D,123,4,8,R,1,10,-48,7,MIDFIELD,,20,,TRIPS,RT,,STRONG,31,Pass,RPO,IZ,,L,BUB,BUBBLE,,Complete,,J,3,3,63AF,OVER,,,,,5OC,1,,,,,
WCSU,D,124,4,8,R,2,3,45,0,MIDFIELD,,20,,TRIPS,RT,,STRONG,31,Run,RPO,IZ,,L,BUB,BUBBLE,,Rush,A,T,,3,,OVER,,,,,,,,,,,
WCSU,D,125,4,8,R,3,3,45,18,MIDFIELD,,20,,TRIPS,LT,,STRONG,31,Pass,,SOP,,L,,CHAIR,,Complete,,J,4,1,63TFS,OVER,,,,,7LT,219,,,,,
WCSU,D,126,4,8,L,1,10,27,11,GREEN ZONE,,20,,TRIPS,RT,,STRONG,31,Pass,RPO,IZ,,L,BUB,BUBBLE,,Complete,,J,3,1,60 MAN,OVER,,,,,5OC,146,,,,,
