OPP TEAM,ODK,PLAY #,QTR,SERIES,HASH,DN,DIST,YARD LN,GN/LS,FZ,SIT,PERSONNEL,MOTION,OFF FORM,FORM LT/RT,FIB,BACKFIELD,FORM CODE,PLAY TYPE,PLAY TYPE 2,OFF PLAY,RUN TAG,PLAY DIR,SCR TAG,ROUTE CONCEPT,ROUTE 2,RESULT,GAP,BC,PASS ZONE,COVERAGE,PROTECTION (D),DEF FRONT,STUNT,BLITZ,POST SACK,SERIES END,LAUNCH PT,LAUNCH TIME,ESCAPE PTS,2&10,PEN +/-,PENALTY,T & 10
SALISBURYY,D,68,2,4,L,2,6,-45,0,MIDFIELD,,21,J ORBIT,WOLF OFF,RT,,STRONG,,Pass,,IZ,READ OPTION,L,,VERTS J SWING,,Incomplete,,,3,3 CLOUD,,CAT,,,,,9RT,228,,,,,
SALISBURYY,D,69,2,4,L,3,6,-45,0,MIDFIELD,,21,J ORBIT,WOLF OFF,RT,,STRONG,,Run,,COUNTER,READ OPTION,L,,,,Rush,B,T,,3,,CAT,,,,PUNT,,,,,,,
SALISBURYY,D,76,2,5,R,0,10,-22,14,UPFIELD,,21,,WOLF CON STACK,LT,,WEAK,22,Pass,,PAP,IZ,L,,SLICE,,Complete,,J,4,4,,CAT,,,,,10LT,422,,,,,
SALISBURYY,D,77,2,5,L,1,10,-36,12,UPFIELD,,21,,TOM OFF,RT,,STRONG,41,Pass,,3 STEP,,R,,SMASH FADE,,Complete,,Z,6,3 HOLE,,CAT,,,,,5OC,112,,,,,
SALISBURYY,D,78,2,5,R,1,10,-48,-2,MIDFIELD,,21,,TOM OFF,LT,,STRONG,41,Run,,COUTER,READ,R,,,,Rush,D,Q,,4,,CAT,,,,,,,,,,,
SALISBURYY,D,79,2,5,R,2,12,-46,-10,MIDFIELD,,21,,TOM OFF,LT,,STRONG,41,Pass,,5 STEP,,L,,VERT SWITCH,HITCHES,Complete,,J,4,4,,CAT,,,,,7OC,253,,R,,,
SALISBURYY,D,80,2,5,L,2,22,-36,8,UPFIELD,,21,,TOM OFF,RT,,STRONG,41,Pass,,5 STEP,,L,,VERT SWITCH,SIT,Scramble,,Q,,3 CLOUD,,CAT,,,,,,,LB,,,,
SALISBURYY,D,81,2,5,L,3,14,-44,-5,MIDFIELD,,21,,TOM OFF STACK,RT,,STRONG,41,Pass,,5 STEP,,R,,,,Penalty,,,,,,,,,,,,,,,,,
SALISBURYY,D,82,2,5,L,3,19,-39,0,UPFIELD,,21,,TRIPS,RT,,STRONG,41,Pass,,5 STEP,,L,,VERTS,,Incomplete,,Y,7,4,,DOG,,,,PUNT,3LT,409,,,,,
SALISBURYY,D,90,2,6,R,0,10,-33,63,UPFIELD,,21,,DBLS,LT,,STRONG,22,Pass,,5 STEP,,R,,HITCH,SLANT,Complete,,J,6,4,,CAT,,,,,7OC,178,,,,,
