OPP TEAM,ODK,PLAY #,QTR,SERIES,HASH,DN,DIST,YARD LN,FZ,SIT,PERSONNEL,MOTION,OFF FORM,FORM LT/RT,FIB,BACKFIELD,FORM CODE,PLAY TYPE,PLAY TYPE 2,OFF PLAY,RUN TAG,PLAY DIR,SCR TAG,ROUTE CONCEPT,ROUTE 2,RESULT,GAP,BC,PASS ZONE,COVERAGE,PROTECTION (D),DEF FRONT,STUNT,BLITZ,GN/LS,SERIES END,PENALTY
Stevenson University,D,13,1,2,R,1,10,10,RED ZONE,,11,,WOLF SIB,L,,STRONG,22,Pass,RPO,IZ,LOCK,R,,DUMP,,Incomplete,,Y,5,,,,,,0,,
Stevenson University,D,14,1,2,R,2,10,10,RED ZONE,,11,,WOLF,R,,STRONG,23,Run,,PUNCH,,R,,,,,B,T,,,,OVER,,,8,,
Stevenson University,D,15,1,2,R,3,2,2,RED ZONE,,11,,TOM,L,,WEAK,32,Run,,IZ,READ,L,,,,,C,Q,,MATCH,,OVER,,AXE,2,TD,
Stevenson University,D,16,1,3,M,0,10,-46,UPFIELD,,11,,TREY,L,,WEAK,41,Pass,,5 STEP,,,,SEAM TRAIL,CORNER,Scramble,,T,3,7,6T2F,OVER,DRIVE,,12,,
Stevenson University,D,17,1,3,L,1,10,42,UPFIELD,,11,,TREY,L,,WEAK,41,Run,SCR,IZ,LOCK,L,BUB,,,Complete,,Z,,HEAT,,OVER,,BLAST,-4,,
Stevenson University,D,18,2,3,R,2,14,46,UPFIELD,,10,,TRIPS,L,,WEAK,32,Pass,,5 STEP,,,,DOZER,,Complete,,X,5,7,6A2F,,,,16,,
Stevenson University,D,19,2,3,R,1,10,30,GREEN ZONE,,10,,TRIPS,L,,STRONG,41,Run,,IZ,READ,R,BUB,,,,A,T,,HEAT,,OVER,,SHELL,15,,
Stevenson University,D,20,2,3,R,1,10,15,RED ZONE,,10,DUMMY,TRIPS,L,,STRONG,41,Run,,IZ,READ,R,BUB,,,,A,T,,HEAT,,OVER,,BLAST,5,,
Stevenson University,D,21,2,3,R,2,5,10,RED ZONE,,11,,TOM,L,,STRONG,41,Run,SCR,IZ,,R,BUB,,,Complete,,J,,MATCH,,OVER,,SMOKE,10,TD,
Stevenson University,D,22,2,4,M,0,10,-47,UPFIELD,,11,,TOM OFF,R,,WEAK,32,Run,,COUNTER,,L,,,,,B,T,,7,,OVER,DRIVE,,3,,
Stevenson University,D,23,2,4,L,2,7,50,UPFIELD,,11,,FOX,R,,KING,21,Pass,,PAP,,R,,CROSS,GO,Complete,,X,9,MATCH,,OVER,,AXE,50,TD,
Stevenson University,D,24,2,5,L,0,10,-42,UPFIELD,,11,JOP,TOM HIP,R,,STRONG,41,Run,,POWER,,R,,,,,A,T,,HEAT,,OVER,,SHELL,8,,
Stevenson University,D,26,2,5,L,2,7,-45,UPFIELD,,10,,DOUBLES CON,R,,WEAK,23,Pass,RPO,IZ,LOCK,R,,SLIDE,,Incomplete,,J,3,HEAT,,OVER,,BLAST,0,,
Stevenson University,D,27,2,5,L,3,7,-45,UPFIELD,,10,,TRIPS,R,,WEAK,32,Pass,,5 STEP,,L,,SWAMP,OUT,Complete,,X,6,HEAT,6A3F,WIDE,,TACO,12,,
Stevenson University,D,28,2,5,L,1,10,43,UPFIELD,,10,,TRIPS,R,,STRONG,41,Run,SCR,IZ,LOCK,L,BUB,,,Complete,,J,,7,,OVER,ABBY UNO,,-3,,
Stevenson University,D,30,2,5,R,2,18,-49,UPFIELD,,10,,DOUBLES,L,,STRONG,22,Pass,,5 STEP,,,,OPTION,,Incomplete,,J,5,7,6T3F,WIDE,TRES,,0,,
Stevenson University,D,31,2,5,R,3,18,-49,UPFIELD,,10,,TRIPS,L,,STRONG,41,Pass,SCR,T SLIP SCR STR,,L,,,,Incomplete,,T,,,,WIDE,CUATRO,,0,PUNT,
Stevenson University,D,32,2,6,L,0,10,-13,BACKED UP,,11,,TREY PINCH,L,,WEAK,41,Run,RPO,IZ,LOCK,L,,WORM,,,A,T,,HEAT,,OVER,,RAM,1,,
Stevenson University,D,33,2,6,L,2,9,-14,BACKED UP,,11,,TOM,R,,STRONG,41,Pass,,5 STEP,,,,PIVOT,OUT,Incomplete,,X,5,HEAT,6T3F,OVER,,SHELL,0,,
Stevenson University,D,34,2,6,L,3,9,-14,BACKED UP,,11,,WOLF,L,,STRONG,23,Pass,,5 STEP,,,,FLO,DRIVE,Scramble,,Q,,7,6A3F,WIDE,TRES,,21,,
Stevenson University,D,35,2,6,R,1,10,-35,UPFIELD,,10,,TRIPS,L,,WEAK,32,Pass,,5 STEP,,,,CURL,DIG,Incomplete,,X,5,HEAT,6A2F,OVER,,BLAST,0,,
Stevenson University,D,36,2,6,R,2,10,-35,UPFIELD,,11,,TOM,R,YES,STRONG,14,Run,,PUNCH,,R,,,,,B,T,,BLACK,,OVER,,,9,,
Stevenson University,D,37,2,6,R,3,1,-44,UPFIELD,,11,,TOM,L,,WEAK,32,Run,,IZ,READ,L,,,,,C,Q,,MATCH,,OVER,,SMOKE,0,PUNT,
Stevenson University,D,39,3,7,L,0,10,-45,UPFIELD,,11,,TREY,L,,WEAK,41,Pass,,PAP,,L,,BUB AND GO,,Complete,,X,8,7,,OVER,,,47,,
Stevenson University,D,40,3,7,R,1,8,8,RED ZONE,,11,Z JUMP,SLOT,R,,WAGON,21,Run,,IZ,BASE,R,BUB,,,,A,T,,,,,,,7,,
Stevenson University,D,41,3,7,R,2,1,1,RED ZONE,,11,Z HIP,TREY HIP,R,,WEAK,41,Run,,IZ,BASE,R,BUB,,,,A,T,,MATCH,,OVER,,SMOKE,1,TD,
Stevenson University,D,42,3,8,L,0,10,-23,UPFIELD,,11,,TOM,R,,STRONG,41,Pass,RPO,IZ,,L,,CLEAR,,Complete,,Z,2,7,,OVER,,,13,,
Stevenson University,D,43,3,8,R,1,10,-36,UPFIELD,,11,,TOM,R,YES,WEAK,13,Run,,PUNCH,,R,,,,,C,T,,BLACK,,OVER,,,15,,
Stevenson University,D,44,3,8,R,1,10,49,UPFIELD,,11,ZOP,WOLF CON,R,,WEAK,22,Run,,POWER,,R,,,,,B,T,,7,,OVER,DRIVE,,9,,
Stevenson University,D,45,3,8,R,2,1,40,GREEN ZONE,,11,Z JUMP,SLOT,R,,WAGON,21,Run,,IZ,BASE,R,BUB,,,,B,T,,HEAT,,OVER,,RAM,0,,
Stevenson University,D,46,3,8,R,1,10,37,GREEN ZONE,,11,,WOLF SIB CUT STACK,L,,STRONG,22,Pass,,5 STEP,,,,OUT,TRAIL,Scramble,,Q,,HEAT,7A2BS,OVER,,SHELL,4,,
Stevenson University,D,47,3,8,R,2,6,33,GREEN ZONE,,11,,TOM,R,YES,WEAK,13,Run,,PUNCH,,R,,,,,B,T,,HEAT,,OVER,,BLAST,6,,
Stevenson University,D,48,3,8,R,1,10,27,GREEN ZONE,,11,Z JUMP,SLOT,R,,WAGON,21,Run,SCR,IZ,READ,R,Z FLAT,,,Complete,,Z,,HEAT,,OVER,,BLAST,-9,,
Stevenson University,D,49,3,8,L,1,19,36,GREEN ZONE,,10,,DOUBLES,R,,STRONG,22,Pass,,5 STEP,,,,CURL,SMASH,Complete,,X,3,HEAT,6T3F,OVER,,SHELL,9,,
Stevenson University,D,50,3,8,L,2,10,27,GREEN ZONE,,10,,TRIPS,R,,STRONG,41,Run,,IZ,LOCK,L,BUB,,,,A,T,,7,,OVER,,,3,,
Stevenson University,D,51,3,8,L,3,7,24,GREEN ZONE,,10,,TRIPS,R,,WEAK,32,Pass,,5 STEP,,,,VERTS J OUT,,Complete,,J,4,HEAT,6A3B,OVER,,BLAST,11,,
Stevenson University,D,52,3,8,R,1,10,13,RED ZONE,,11,JOP,TOM HIP,R,YES,STRONG,14,Run,,POWER,,R,,,,,B,T,,BLACK,,OVER,,,2,,
Stevenson University,D,53,3,8,R,2,8,11,RED ZONE,,11,,UNB TOM QUADS WIDE BUNCH,L,,STRONG,50,Run,,IZ,,R,ALT,,,,A,T,,HEAT,,OVER,,SHELL,2,,
Stevenson University,D,54,3,8,R,3,6,9,RED ZONE,,10,,TRIPS,L,,WEAK,32,Pass,,5 STEP,,,,COLT,GO,Incomplete,,Y,7,HEAT,6A2F,OVER,,SHELL,0,MISSED FG,
Stevenson University,D,55,3,9,R,0,10,-26,UPFIELD,,10,,TRIPS,L,,STRONG,41,Run,,IZ,LOCK,R,BUB,,,,A,T,,7,,OVER,ABBY UNO,,0,,
Stevenson University,D,56,3,9,R,2,10,-26,UPFIELD,,11Q,J MESH,PRO OFF,R,YES,STRONG,12,Run,,Q POWER READ,,R,,,,,B,Q,,HEAT,,OVER,,SHELL,0,,
Stevenson University,D,57,3,9,R,3,10,-26,UPFIELD,,10,,DOUBLES,L,,STRONG,22,Pass,,5 STEP,,,,OPTION,,Incomplete,,Z,7,7,6T3F,WIDE,,,0,PUNT,
Stevenson University,D,58,4,10,R,0,10,-32,UPFIELD,,11,,TOM,L,,STRONG,41,Pass,RPO,OZ,,R,BUB,,GLANCE,Sack,,Q,,7,,OVER,DRIVE,,-7,,
Stevenson University,D,59,4,10,R,2,17,-25,UPFIELD,,10,,TRIPS,L,,STRONG,41,Pass,,5 STEP,,,,PIVOT,GO,Complete,,J,1,7,6T3F,WIDE,UNO,,3,,
Stevenson University,D,60,4,10,L,3,14,-28,UPFIELD,,10,,DOUBLES,R,,STRONG,22,Pass,,5 STEP,,,,OPTION,,Sack,,Q,,HEAT,6T3F,OVER,,BLAST,-2,PUNT,
Stevenson University,D,61,4,11,R,0,10,-26,UPFIELD,4M,11,,TREY,L,YES,STRONG,32,Run,,COUNTER,,R,,,,,B,T,,BLACK,,OVER,,,0,,
Stevenson University,D,62,4,11,R,2,10,-26,UPFIELD,4M,11,,TOM,R,YES,WEAK,13,Run,,PUNCH,,R,,,,,A,T,,BLACK,,OVER,,,12,,
Stevenson University,D,63,4,11,R,1,10,-38,UPFIELD,4M,11,Z JUMP,SLOT,R,,KING,21,Run,,POWER,,R,,,,,C,T,,HEAT,,OVER,,SHELL,7,,
Stevenson University,D,64,4,11,R,2,3,-45,UPFIELD,4M,11,,WOLF,R,,WEAK,22,Run,,IZ,READ,R,BUB,,,,A,T,,7,,OVER,ABBY UNO,,4,,
Stevenson University,D,65,4,11,R,1,10,50,UPFIELD,4M,11,,TOM,R,YES,WEAK,13,Run,,OZ,,R,,,,,D,T,,BLACK,,OVER,,SHELL,3,,
Stevenson University,D,66,4,11,R,2,7,47,UPFIELD,4M,11,,TOM,R,YES,WEAK,13,Run,,PUNCH,,R,,,,,A,T,,BLACK,,OVER,,SHELL,15,,
Stevenson University,D,67,4,11,R,1,10,32,GREEN ZONE,4M,11,J HIP,TOM HIP CUT,L,,WEAK,32,Run,,COUNTER TREY,,R,,,,,B,T,,7,,OVER,,,12,,
Stevenson University,D,68,4,11,R,1,10,20,RED ZONE,4M,11,,TOM CUT,L,,WEAK,32,Run,,IZ,READ,L,,,,,A,T,,7,,OVER,,,12,GAME,
