OPP TEAM,ODK,PLAY #,QTR,SERIES,HASH,T & 10,DN,DIST,YARD LN,FZ,GN/LS,POST SACK,SERIES END,SIT,PERSONNEL,MOTION,OFF FORM,FORM LT/RT,FIB,BACKFIELD,FORM CODE,PLAY TYPE,PLAY TYPE 2,OFF PLAY,RUN TAG,PLAY DIR,SCR TAG,ROUTE CONCEPT,ROUTE 2,RESULT,BC,GAP,PASS ZONE,COVERAGE,PROTECTION (D),DEF FRONT,STUNT,BLITZ,LAUNCH PT,LAUNCH TIME,ESCAPE PTS,2&10,PEN +/-,PENALTY
Widener University,D,89,3,13,R,,2,10,45,MIDFIELD,0,,,,12,HOHIN,SLOT,RT,,WAGON,21,Pass,,NAKED,,L,,CURL WHEEL,,Incomplete,,,7,1,NAKED COUNTER TREY,OVER,,,7LOOP,306,LOOP,,,
Widener University,D,90,3,13,R,,3,10,45,MIDFIELD,0,,INT,,11,,WOLF SIB,LT,,WK,22,Pass,,5 STEP,,R,,VERTS,,Interception,,,5,2 MAN,60TF,UNDER,,,6OC,253,,,,
Widener University,D,99,3,15,L,,0,10,-10,UPFIELD,2,,,,20,,FOX,RT,,SPLIT,21,Run,,POWER RD,,R,,,,Rush,T,E-Alley,,,,OVER,,,,,,,,
Widener University,D,100,3,15,R,,2,8,-12,UPFIELD,15,,,,20,,FOX,LT,,SPLIT,21,Pass,,3 STEP,,R,,SLANTS,,Incomplete,,,6,3,62AB,OVER,,,5OC,188,,,,
Widener University,D,101,3,15,R,,1,10,-27,UPFIELD,5,,,,11,,TOM OFF,LT,,STRONG,31,Run,,Q DUO,,L,,,,Rush,Q,E-Alley,,,,OVER,,,,,,,,
Widener University,D,102,3,15,L,,2,5,-32,UPFIELD,0,,,,10,SIN,WIDE BUNCH,RT,,STRONG,31,Pass,,3 STEP,,R,,CHAIR,,Incomplete,,,2,2,62TF,OVER,,,6OC,203,,,,
Widener University,D,103,3,15,L,,3,5,-32,UPFIELD,11,,,,11,,TOM,RT,,STRONG,31,Pass,,SOP,,R,,OUT CORNER,,Scramble,,,,3,SPRINT,OVER,,,,,ROOP,,,
Widener University,D,104,3,15,R,,1,10,-43,MIDFIELD,5,,,,11,,WOLF SIB,LT,,STRONG,22,Pass,,3 STEP,,R,,STICK,VERTS,Scramble,,,,4,62TB,OVER,,,,,RA,,,
Widener University,D,105,3,15,M,,2,5,-48,MIDFIELD,20,,,,20,Y ACROSS,WOLF OFF,LT,,WK,22,Run,,Q DUO,,R,,,,Rush,Q,C,,,,OVER,,,,,,,,
Widener University,D,106,3,15,R,,1,10,32,GREEN ZONE,17,,,,11,,TOM,LT,,STRONG,31,Pass,,SOP,,L,,FLOOD,,Complete,J,,4,2,SPRINT,OVER,,,8LOOP,354,LOOP,,,
Widener University,D,107,3,15,L,,1,10,15,RED ZONE,5,,,,21,,SLOT,LT,,I,21,Pass,,NAKED,,L,,OVER,,Scramble,,,,1,NAKED,OVER,,,,,LOOP,,,
Widener University,D,108,3,15,L,,2,5,10,RED ZONE,0,,INT,,12,,TEX,LT,,WK,31,Pass,,SOP,,R,,SMASH,,Interception,,,9,1,SPRINT,OVER,,,7ROOP,287,ROOP,,,
Widener University,D,120,4,18,,,1,10,-25,UPFIELD,-7,,,,20,Y ACROSS,TOM OFF,RT,,STRONG,31,Pass,,SOP,,R,,FLOOD,,Sack,,,,1,SPRINT,OVER,,,,,ROOP,,,
Widener University,D,121,4,18,,,2,17,-18,UPFIELD,0,,,,11,,TOM,LT,,STRONG,31,Pass,,SOP,,L,,FLOOD,,Incomplete,,,4,2,SPRINT,OVER,,,7LOOP,334,LOOP,,,
Widener University,D,122,4,18,,,3,17,-18,UPFIELD,0,,PUNT,,11,,TOM,LT,,STRONG,31,Pass,TRICK,SHOVEL,,L,,,,Incomplete,,,2,,,UNDER,,,5OC,,,,,
Widener University,D,138,4,20,R,,1,10,-18,UPFIELD,3,,,,12,,SLOT TY,RT,,DOT,22,Run,,POWER,,R,,,,Rush,T,B,,,,OVER,,,,,,,,
Widener University,D,139,4,20,R,,2,6,-21,UPFIELD,-3,,,,12,,SLOT TY,RT,,STRONG,22,Run,,TOSS,,R,,,,Rush,T,D,,,,OVER,,,,,,,,
Widener University,D,140,4,20,R,,3,8,-18,UPFIELD,0,,PUNT,,12,,TEX,RT,,WK,31,Pass,,5 STEP,,L,,SHILO,,Incomplete,,,5,1,63TB,OVER,,,5OC,,,,,
Widener University,D,147,4,22,L,,1,10,-45,MIDFIELD,0,,,,21,,SLOT UND,LT,,I,21,Pass,,SOP,,R,,OUT,COMEBACK GO,Incomplete,,,9,1,SPRINT,OVER,,,8ROOP,275,ROOP,,,
Widener University,D,148,4,22,L,,2,10,-45,MIDFIELD,15,,,,21,,SLOT UND,LT,,I,21,Run,,SPRINT POWER,,R,,,,Rush,T,B,,,,OVER,,,,,,,,
Widener University,D,149,4,22,,,1,10,40,MIDFIELD,1,,,,21,,SLOT UND,LT,,I,21,Pass,,SOP,,R,,SMASH,,Complete,X,,6,1,SPRINT,OVER,,,6ROOP,287,ROOP,,,
Widener University,D,150,4,22,,,2,10,39,GREEN ZONE,0,,,,21,,SLOT UND,RT,,I,21,Pass,,SOP,,L,,RUB OUT,,Complete,J,,4,3,SPRINT,OVER,,,6LOOP,228,LOOP,,,
Widener University,D,151,4,22,,,3,10,39,GREEN ZONE,0,,,,21,,SLOT UND,LT,,I,21,Pass,,5 STEP,,R,,VERTS,,Incomplete,,,8,3,61F,OVER,,,6OC,257,,,,
King's College,D,2,1,1,R,,0,10,-27,UPFIELD,1,,,,12,,TEX,RT,,WK,31,Pass,,NAKED PIN,,L,,WAGGLE,,Complete,J,,4,1,NAKED PIN,OVER,,,7LOOP,368,LOOP,,,
King's College,D,3,1,1,L,,1,4,-33,UPFIELD,1,,,,12,,UNB TOM UND,RT,,I,30,Run,,BOSS,,R,,,,Rush,T,D,,,,OVER,,,,,,,,
King's College,D,4,1,1,R,,2,3,-34,UPFIELD,-3,,,,12,,SLOT UND,RT,,I,21,Run,,POWER,,L,,,,Rush,T,B,,,,OVER,,,,,,,,
King's College,D,5,1,1,R,,3,6,-31,UPFIELD,0,,PUNT,,11,,WOLF,RT,,WK,22,Pass,,SOP,,L,,RUB OUT,,Fumble,,,,3,SPRINT,OVER,,,7LOOP,,LOOP,,,
King's College,D,12,1,3,R,,0,10,47,MIDFIELD,37,,,,12,,PRO,RT,,I,12,Pass,TRICK,FAKE BOSS REV PASS,,R,,CROSS,,Complete,Z,,9,1,81F,OVER,,,9ROOP,369,ROOP,,,
King's College,D,13,1,3,R,,1,10,10,RED ZONE,0,,,,12,,PRO,LT,,I,12,Run,,POWER,,L,,,,Rush,T,A,,,,OVER,,,,,,,,
King's College,D,14,1,3,M,,2,10,10,RED ZONE,-7,,,,12,J JET,SLOT TY,LT,,STRONG,22,Pass,,NAKED,,R,,OVER COMEBACK,,Complete,T,,,1,61ABS,OVER,,,8ROOP,453,ROOP,,,
King's College,D,15,1,3,R,,3,17,17,RED ZONE,-8,,,,12,,UNB TOM UND,LT,,I,30,Pass,,SOP,,L,,OUT WHIP,,Sack,,,,2 MAN,SPRINT,OVER,,,,,LOOP,,,
King's College,D,16,1,3,L,,4,25,25,RED ZONE,25,S,TD,,11,,TOM,RT,,STRONG,31,Pass,,5 STEP,,L,,VERT SWITCH,,TD,X,,7,4,60 MAN,OVER,,,7OC,200,,,,
King's College,D,23,1,5,L,,0,10,-32,UPFIELD,-1,,,,12,,SLOT UND,LT,,I,21,Run,,ISO,,L,,,,Rush,T,A,,,,OVER,,,,,,,,
King's College,D,24,1,5,L,,2,10,-31,UPFIELD,-7,S,,,12,,SLOT UND,LT,,I,21,Pass,,PAP,ISO,R,,VERT SWITCH,,Sack,,,,4,70 MAN,OVER,,,,,,,,
King's College,D,25,1,5,M,,3,18,-24,UPFIELD,0,,PUNT,,11,,TOM,RT,,STRONG,31,Run,,COUNTER,,L,,,,Rush,T,C,,,,UNDER,,,,,,,,
King's College,D,34,1,7,M,,0,10,-20,UPFIELD,2,,,,20,,FOX,LT,,SPLIT,21,Run,,ISO,,R,,,,Rush,T,A,,,,OVER,,,,,,,,
King's College,D,35,1,7,M,,2,8,-22,UPFIELD,0,,,,20,,FOX,LT,,SPLIT,21,Pass,,3 STEP,,R,,OUT VERT,,Incomplete,,,9,4,72B,OVER,,,50C,181,,,,
King's College,D,36,1,7,M,,3,8,-22,UPFIELD,0,,PUNT,,11,,WOLF SIB,LT,,STRONG,22,Pass,,5 STEP,,L,,OUT VERT,,Complete,T,,4,2 MAN,60TB,OVER,,,7LOOP,443,LOOP,,,
King's College,D,46,2,8,R,T,0,10,-20,UPFIELD,0,,,,12,J ACROSS,SLOT TY,RT,,WK,22,Run,,POWER,,R,,,,Rush,T,C,,,,OVER,,,,,,,,
