OPP TEAM,ODK,PLAY #,QTR,SERIES,HASH,DN,DIST,YARD LN,FZ,SIT,PERSONNEL,MOTION,OFF FORM,FORM LT/RT,FIB,BACKFIELD,FORM CODE,PLAY TYPE,PLAY TYPE 2,OFF PLAY,RUN TAG,PLAY DIR,SCR TAG,GAP,ROUTE CONCEPT,ROUTE 2,RESULT,BC,PASS ZONE,COVERAGE,DEF FRONT,PROTECTION (D),GN/LS,SERIES END,PENALTY
King's,D,1,1,1,L,0,10,-42,UPFIELD,,11,,FOX,R,,KING,21,Pass,TRICK,FLEA FLICKER,,,,,VIPER,,Incomplete,,,4,FLIP,,0,,
King's,D,2,1,1,L,2,10,-42,UPFIELD,,11,JOP,TOM HIP,L,YES,WEAK,13,Run,,PUNCH,,L,,B,,,,,,SOLO,OVER,,5,,
King's,D,3,1,1,L,3,5,-47,UPFIELD,,10,,EMPTY 32,R,,EMPTY,32,Pass,,3 STEP,,,,,STICK,J DRIVE,Sack,Q,,1,CAT,50B,-5,PUNT,
King's,D,4,1,2,L,0,10,-25,UPFIELD,,11,,TREY BUNCH,R,YES,WEAK,14,Run,SCR,IZ,READ,R,,,,,Complete,X,,4,OPP,,11,,
King's,D,5,1,2,L,1,10,-36,UPFIELD,,11,,TREY,L,,WEAK,41,Pass,,5 STEP,,,,,SEAM TRAIL,,Complete,,,CLAM,OVER,6A3B,35,,
King's,D,6,1,2,L,1,10,29,GREEN ZONE,,11,,TOM,R,,STRONG,41,Pass,RPO,OZ,,L,,,,GLANCE,Complete,,,4,FLIP,,29,TD,
King's,D,7,1,3,R,0,10,43,UPFIELD,,21,,SLOT,R,,WAGON,21,Run,,IZ,LEAD,R,,A,,,,,,MATCH,OPP,,5,,
King's,D,8,1,3,R,2,5,38,GREEN ZONE,,10,R FLARE,TRIPS,L,,WEAK,32,Pass,SCR,A SWG SCR STR,,L,,,,,Complete,,,CLAM,CAT,,12,,
King's,D,9,1,3,L,1,10,26,GREEN ZONE,,10,,DOUBLES,R,,STRONG,22,Run,,IZ,READ,L,,B,,,,,,1,CAT,,6,,
King's,D,10,1,3,L,2,4,20,RED ZONE,,10Q,J MESH,FOX,R,,SPLIT,22,Run,,Q POWER READ,,R,,B,,,,Q,,FIRE,CAT,,8,,
King's,D,11,1,3,M,1,10,12,RED ZONE,,11,,TREY,L,,WEAK,41,Run,,IZ,READ,L,,A,,,,,,CLAM,OVER,,3,,
King's,D,12,1,3,M,2,7,9,RED ZONE,,11Q,,TOM STACK,R,,STRONG,41,Run,,Q PWR,,R,,B,,,,,,0,OPP,,0,,
King's,D,13,1,3,M,3,7,9,RED ZONE,,10,,DOUBLES,L,,STRONG,22,Pass,,3 STEP,,R,,B,CHAIR,,,Q,,BRACKET,OVER,6T3F,3,MISSED FG,
King's,D,14,1,4,R,0,10,-46,UPFIELD,,20,,FOX,L,,SPLIT,21,Pass,RPO,PUNCH,,L,,,CLEAR,,Complete,,,HOT,CAT,,21,,
King's,D,15,2,4,M,1,10,33,GREEN ZONE,,11,ZOP,WOLF CON,L,,WEAK,22,Run,,PUNCH,,L,,A,,,,,,4,EVEN,,-4,,
King's,D,16,2,4,M,2,12,37,GREEN ZONE,,11,,TOM,R,,WEAK,32,Pass,,3 STEP,,,,,STICK,GO,Incomplete,X,,SINK,OVER,6A3F,0,,
King's,D,17,2,4,M,3,14,37,GREEN ZONE,,10,,DOUBLES CUT CON,R,,STRONG,22,Pass,,5 STEP,,,,,VERTS,BENCH,Scramble,Q,,4,WIDE,6A3B,3,,
