OPP TEAM,ODK,PLAY #,QTR,SERIES,HASH,T & 10,DN,DIST,YARD LN,FZ,GN/LS,RESULT,SIT,PERSONNEL,MOTION,OFF FORM,FORM LT/RT,FIB,BACKFIELD,FORM CODE,PLAY TYPE,PLAY TYPE 2,OFF PLAY,RUN TAG,PLAY DIR,SCR TAG,ROUTE CONCEPT,ROUTE 2,BC,GAP,PASS ZONE,COVERAGE,PROTECTION (D),DEF FRONT,STUNT,BLITZ,POST SACK,SERIES END,LAUNCH PT,LAUNCH TIME,ESCAPE PTS,2&10,PEN +/-,PENALTY
Stevenson University,O,72,,,R,,3,18,-49,UPFIELD,0,Incomplete,,10,,TRIPS,L,,STRONG,,Pass,SCR,T SLIP,,L,,T SLIP,,T,,,,,WIDE,CUATRO,,,,,,,,,
Stevenson University,O,79,,,L,,1,10,-13,BACKED UP,-1,,,11,,TREY PINCH,L,,WEAK,,Run,RPO,IZ,LOCK,L,,WORM,,T,A,,HEAT,,OVER,,RAM,,,,,,,,
Stevenson University,O,80,,,L,,2,9,-12,BACKED UP,0,Incomplete,,11,,TOM,R,,STRONG,,Pass,,5 STEP,,,,PIVOT,OUT,X,,5,HEAT,,OVER,,SHELL,,,,,,,,
Stevenson University,O,81,,,L,,3,9,-12,BACKED UP,23,Scramble,,11,,WOLF,L,,STRONG,,Pass,,5 STEP,,,,FLO,DRIVE,Q,,,7,,WIDE,TRES,,,,,,,,,
Stevenson University,O,82,,,R,,1,10,-35,UPFIELD,0,Incomplete,,10,,TRIPS,L,,WK,,Pass,,5 STEP,,,,CURL,DIG,X,,5,HEAT,,OVER,,BLAST,,,,,,,,
Stevenson University,O,83,,,R,,2,10,-35,UPFIELD,9,,,11,,TOM,R,YES,STRONG,,Run,,PUNCH,,R,,,,T,B,,BLACK,,OVER,,,,,,,,,,
Stevenson University,O,84,,,R,,3,1,-44,UPFIELD,0,,,11,,TOM,L,,WK,,Run,,IZ,READ,L,,,,Q,C,,MATCH,,OVER,,SMOKE,,,,,,,,
Stevenson University,O,92,,,L,,1,10,-44,UPFIELD,48,Complete,,11,,TREY,L,,WK,,Pass,,PAP,,L,,BUB AND GO,,X,,8,7,,OVER,,,,,,,,,,
Stevenson University,O,93,,,R,,1,8,8,RED ZONE,7,,,11,Z JUMP,SLOT,R,,WAGON,,Run,,IZ,BASE,R,BUB,,,T,A,,,,,,,,,,,,,,
Stevenson University,O,94,,,R,,2,1,1,RED ZONE,1,,,11,Z HIP,TREY HIP,R,,WEAK,,Run,,IZ,BASE,R,BUB,,,T,A,,MATCH,,OVER,,SMOKE,,,,,,,,
Stevenson University,O,108,,,L,,1,10,-23,UPFIELD,0,Complete,,11,,TOM,R,,STRONG,,Pass,RPO,IZ,,L,,CLEAR,,Z,,2,7,,OVER,,,,,,,,,,
Stevenson University,O,109,,,R,,1,10,-23,UPFIELD,28,,,11,,TOM,R,YES,WK,,Run,,PUNCH,,R,,,,T,C,,BLACK,,OVER,,,,,,,,,,
Stevenson University,O,110,,,R,,1,10,49,UPFIELD,9,,,11,ZOP,WOLF CON,R,,WEAK,,Run,,POWER,,R,,,,T,B,,7,,OVER,DRIVE,,,,,,,,,
Stevenson University,O,111,,,R,,2,1,40,GREEN ZONE,0,,,11,Z JUMP,SLOT,R,,WAGON,,Run,,IZ,BASE,R,BUB,,,T,B,,HEAT,,OVER,,RAM,,,,,,,,
Stevenson University,O,112,,,R,,1,10,37,GREEN ZONE,4,Scramble,,11,,WOLF SIB CUT STACK,L,,STRONG,,Pass,,5 STEP,,,,OUT,TRAIL,Q,,,HEAT,,OVER,,SHELL,,,,,,,,
Stevenson University,O,113,,,R,,2,6,33,GREEN ZONE,7,,,11,,TOM,R,YES,WK,,Run,,PUNCH,,R,,,,T,B,,HEAT,,OVER,,BLAST,,,,,,,,
Stevenson University,O,114,,,R,,1,10,26,GREEN ZONE,-10,Complete,,11,Z JUMP,SLOT,R,,WAGON,,Run,SCR,IZ,READ,R,Z FLAT,,,Z,,,HEAT,,OVER,,BLAST,,,,,,,,
Stevenson University,O,115,,,L,,1,19,36,GREEN ZONE,10,Complete,,10,,DBLS,R,,STRONG,,Pass,,5 STEP,,,,CURL,SMASH,X,,3,HEAT,,OVER,,SHELL,,,,,,,,
Stevenson University,O,116,,,L,,2,10,26,GREEN ZONE,2,,,10,,TRIPS,R,,STRONG,,Run,,IZ,LOCK,L,BUB,,,T,A,,7,,OVER,,,,,,,,,,
Stevenson University,O,117,,,L,,3,7,24,GREEN ZONE,10,Complete,,10,,TRIPS,R,,WK,,Pass,,5 STEP,,,,VERTS J OUT,,J,,4,HEAT,,OVER,,BLAST,,,,,,,,
Stevenson University,O,118,,,R,,1,10,14,RED ZONE,3,,,11,JOP,TOM HIP,R,YES,STRONG,,Run,,POWER,,R,,,,T,B,,BLACK,,OVER,,,,,,,,,,
Stevenson University,O,119,,,R,,2,8,12,RED ZONE,2,,,11,,UNB TOM QUADS WIDE BUNCH,L,,STRONG,,Run,SCR,IZ,,R,ALT,,,T,A,,HEAT,,OVER,,SHELL,,,,,,,,
Stevenson University,O,120,,,R,,3,6,8,RED ZONE,8,Incomplete,,10,,TRIPS,L,,WK,,Pass,,5 STEP,,,,COLT,GO,Y,,7,HEAT,,OVER,,SHELL,,,,,,,,
Stevenson University,O,129,,,R,,1,10,-26,UPFIELD,0,,,10,,TRIPS,L,,STRONG,,Run,,IZ,LOCK,R,BUB,,,T,A,,7,,OVER,ABBY UNO,,,,,,,,,
Stevenson University,O,130,,,R,,2,10,-26,UPFIELD,0,,,11,J MESH,PRO OFF,R,YES,STRONG,,Run,,Q POWER READ,,R,,,,Q,B,,HEAT,,OVER,,SHELL,,,,,,,,
Stevenson University,O,131,,,R,,3,10,-26,UPFIELD,0,Incomplete,,10,,DBLS,L,,STRONG,,Pass,,5 STEP,,,,OPTION,,Z,,7,7,,WIDE,,,,,,,,,,
Stevenson University,O,146,,,R,,1,10,-32,UPFIELD,-6,Sack,,11,,TOM,L,,STRONG,,Pass,RPO,OZ,,R,BUB,,GLANCE,Q,,,7,,OVER,DRIVE,,,,,,,,,
Stevenson University,O,147,,,R,,2,17,-26,UPFIELD,2,Complete,,10,,TRIPS,L,,STRONG,,Pass,,5 STEP,,,,PIVOT,GO,J,,1,7,,WIDE,UNO,,,,,,,,,
Stevenson University,O,148,,,L,,3,14,-28,UPFIELD,-4,Sack,,10,,DBLS,R,,STRONG,,Pass,,5 STEP,,,,OPTION,,Q,,,HEAT,,OVER,,BLAST,,,,,,,,
Widener University,O,17,1,2,R,,0,10,-21,UPFIELD,79,TD,,10,,TRIPS,LT,,WK,,Pass,,5 STEP,,L,,VERTS,DRAG,J,,7,3,63TB,OVER,,,,TD,6LG,200,,,,
Widener University,O,27,1,4,M,,0,10,-8,BACKED UP,9,Rush,,10,JOJIN,FOX,LT,,WAGON,,Run,,PUNCH,,L,,,,T,C,,,,OVER,,,,,,,,,,
Widener University,O,28,1,4,L,,2,1,-17,UPFIELD,8,Rush,,11,,TREY,LT,,STRONG,,Run,,SPEED OPTION,,L,,,,T,E-Alley,,,,OVER,,,,,,,,,,
Widener University,O,29,1,4,L,,1,10,-25,UPFIELD,0,Incomplete,,11,,TREY,LT,,STRONG,,Pass,,5 STEP,,R,,SHILO,,,,9,2,53TB,OVER,,,,,2ROOP,625,ROOP,,,
