OPP TEAM,ODK,PLAY #,QTR,SERIES,HASH,DN,DIST,YARD LN,FZ,SIT,PERSONNEL,MOTION,OFF FORM,FORM LT/RT,FIB,BACKFIELD,FORM CODE,PLAY TYPE,PLAY TYPE 2,OFF PLAY,RUN TAG,PLAY DIR,SCR TAG,GAP,ROUTE CONCEPT,ROUTE 2,RESULT,BC,PASS ZONE,COVERAGE,DEF FRONT,PROTECTION (D),GN/LS,SERIES END,PENALTY
Lebanon Valley College,D,19,1,1,M,3,7,17,RED ZONE,,11,,TOM,LT,,STRONG,41,Run,,Q SPRINT DRAW,,L,,A,,,Rush,Q,,4,OVER,,17,TD,
Lebanon Valley College,D,26,1,2,L,0,10,-20,UPFIELD,,21,FLOP,SLOT UND,LT,,KING,22,Pass,,PAP,,,,,POWER PASS,,Incomplete,Y,9,6,PONY,POWER PASS,0,,
Lebanon Valley College,D,27,1,2,L,2,10,-20,UPFIELD,,21,,PRO UND,RT,,KING,31,Run,,DOWN,,R,,C,,,Rush,Q,,3,FIELD,,-10,,
Lebanon Valley College,D,28,1,2,L,2,20,-10,BACKED UP,,11,,TOM,RT,,STRONG,41,Run,,COUNTER TREY,,L,,B,,,Rush,R,,HEAT,OVER,,24,,
Lebanon Valley College,D,29,1,2,L,1,10,-34,UPFIELD,,21,FLOP,PRO UND,RT,,KING,31,Pass,,SOP,,R,,,STIX,,Sack,Q,,4,FIELD,SPRINT,-12,,
Lebanon Valley College,D,30,1,2,R,2,22,-22,UPFIELD,,11,,TOM,LT,,STRONG,41,Run,,Q ISO,,L,,A,,,Rush,Q,,6,PONY,,1,,
Lebanon Valley College,D,31,1,2,R,3,21,-23,UPFIELD,,11,,WOLF SIB,LT,,STRONG,22,Pass,,5 STEP,,,,,GO,STICKS,Incomplete,X,9,SOLO,OVER,73F,0,PUNT,
Lebanon Valley College,D,40,1,3,R,0,10,10,RED ZONE,,21,,PRO UND,LT,,KING,31,Run,,ISO,,L,,B,,,Rush,R,,MATCH,PONY,,2,,
Lebanon Valley College,D,41,1,3,R,2,8,8,RED ZONE,,21,,SLOT UND,RT,,QUEEN,31,Pass,,SOP,,L,,,SMASH,,Incomplete,Z,7,6,PONY,SPRINT,0,,
Lebanon Valley College,D,42,1,3,R,3,8,7,RED ZONE,,21,,SLOT UND,RT,,QUEEN,31,Pass,,BOOT,,L,,,SWITCH WHEEL,,Complete,X,4,MATCH,PONY,NAKED COUNTER TREY,8,TD,
Lebanon Valley College,D,56,2,4,L,0,10,-32,UPFIELD,,21,FLOP,PRO CUT,RT,,WAGON,23,Pass,TRICK,PAP,,,,,CRACK & GO,,Scramble,Q,,4,FIELD,7A1F,0,,
Lebanon Valley College,D,57,2,4,L,2,10,-32,UPFIELD,,21,FLOP,PRO,RT,,TRUCK,41,Pass,,PAP,ISO,R,,,CHOICE,COMEBACK,Complete,Y,5,3,FIELD,7A3B,9,,
Lebanon Valley College,D,58,2,4,R,3,1,-41,UPFIELD,,22,,BOX UND,LT,YES,I,12,Run,,DOWN,,R,,B,,,Rush,R,,MATCH,POSSE,,-3,PUNT,
Lebanon Valley College,D,71,2,5,L,0,10,-28,UPFIELD,,11,,SLOT,LT,,SPLIT,21,Pass,,5 STEP,,,,,CROSS,,Complete,J,1,4,OVER,63B,-8,,
Lebanon Valley College,D,72,2,5,R,2,13,-20,UPFIELD,,11,,WOLF SIB,LT,,STRONG,22,Run,,Q SPRINT DRAW,,L,,B,,,Rush,Q,,4,OVER,,7,,
Lebanon Valley College,D,73,2,5,M,3,6,-27,UPFIELD,,11,,WOLF,RT,,STRONG,22,Pass,,SOP,,R,,,STIX,,Complete,Z,4,HEAT,OVER,SPRINT,8,,
Lebanon Valley College,D,74,2,5,R,1,10,-35,UPFIELD,,11,,WOLF SIB CON,LT,,STRONG,22,Pass,,3 STEP,,,,,STICK,SPEEDS,Complete,X,3,4,OVER,60 DIVE,9,,
Lebanon Valley College,D,75,2,5,R,2,1,-44,UPFIELD,,11,,TOM,LT,,STRONG,41,Run,,COUNTER TREY,,R,,A,,,Rush,R,,ZORRO,OVER,,-17,,
Lebanon Valley College,D,76,2,5,L,3,18,-27,UPFIELD,,11,BOUNCE,WOLF SIB,RT,,WEAK,23,Pass,,5 STEP,,,,,CURL,CROSS,Incomplete,X,9,8,DOG,70 MAN,0,PUNT,
Lebanon Valley College,D,84,2,6,L,0,10,42,UPFIELD,,21,FLOP,SLOT UND,LT,,QUEEN,31,Pass,,BOOT,,L,,,WAGGLE,,Interception,X,9,4,FIELD,NAKED,0,INT,
Lebanon Valley College,D,89,2,7,L,0,10,25,RED ZONE,,11,,TOM,RT,,STRONG,41,Pass,SCR,T WRAP SHOVEL,,L,,,,,Complete,R,,4,OVER,,4,,
Lebanon Valley College,D,90,2,7,L,2,6,21,RED ZONE,,11,,TOM,RT,,STRONG,41,Pass,,SOP,,R,,,SWITCH WHEEL,,Incomplete,J,7,4,OVER,SPRINT,0,,
Lebanon Valley College,D,91,2,7,L,3,6,21,RED ZONE,,11,,TOM,RT,,STRONG,41,Run,,Q SPRINT DRAW,,R,,C,,,Rush,Q,,SOLO,OVER,,-2,FG,
Lebanon Valley College,D,97,3,8,L,0,10,-43,UPFIELD,,21,FLOP,SLOT,LT,,WAGON,41,Pass,,5 STEP,,,,,CHOICE,,Incomplete,R,1,4,FIELD,6A3B,0,,
Lebanon Valley College,D,98,3,8,L,2,10,-43,UPFIELD,,21,FLOP,PRO UND,RT,,KING,31,Run,,DOWN,,R,,C,,,Rush,R,,4,FIELD,,2,,
Lebanon Valley College,D,99,3,8,M,3,8,-45,UPFIELD,,11,,WOLF,LT,,STRONG,22,Pass,,SOP,,L,,,STIX,,Complete,Y,5,ZORRO,OVER,SPRINT,7,,
Lebanon Valley College,D,100,3,8,L,4,1,48,UPFIELD,,22,,BOX UND,LT,,I,21,Run,,DOWN,,L,,C,,,Rush,R,,MATCH,POSSE,,-1,DOWNS,
Lebanon Valley College,D,107,3,9,M,0,10,-6,BACKED UP,,31,HOP,UNB PRO TY UND,RT,,I,3,Run,,OZ,LEAD,R,,C,,,Rush,R,,6,PONY,,4,,
Lebanon Valley College,D,108,3,9,R,2,8,-10,BACKED UP,,31,HOP,UNB BOX TO UND,LT,,I,21,Run,,DOWN,,L,,C,,,Rush,R,,MATCH,POSSE,,3,,
Lebanon Valley College,D,109,3,9,M,3,4,-13,BACKED UP,,21,BOUNCE,SLOT,RT,,WAGON,41,Pass,,5 STEP,,,,,CHOICE,GO,Sack,Q,,MATCH,POSSE,70 MAN,-5,PUNT,
Lebanon Valley College,D,114,3,10,L,0,10,-43,UPFIELD,,22,,BOX UND,LT,,I,21,Run,,OZ,LEAD,R,,C,,,Rush,R,,MATCH,POSSE,,-2,,
