OPP TEAM,ODK,PLAY #,QTR,SERIES,HASH,T & 10,DN,DIST,YARD LN,GN/LS,SERIES END,FZ,SIT,PERSONNEL,MOTION,OFF FORM,FORM LT/RT,FIB,BACKFIELD,FORM CODE,PLAY TYPE,PLAY TYPE 2,OFF PLAY,RUN TAG,PLAY DIR,SCR TAG,ROUTE CONCEPT,ROUTE 2,RESULT,GAP,BC,PASS ZONE,COVERAGE,PROTECTION (D),DEF FRONT,STUNT,BLITZ,POST SACK,LAUNCH PT,LAUNCH TIME,ESCAPE PTS,2&10,PEN +/-,PENALTY
LVC,D,9,1,2,,,1,10,-37,5,,UPFIELD,,11,,WOLF OFF,LT,,STRONG,23,Pass,,5 STEP,,R,,VT,OVER,Complete,,X,3,4,63AB,OVER,,,,7OC,275,,,,
LVC,D,10,1,2,,,2,6,-42,0,,MIDFIELD,,11,,WOLF OFF,RT,,STRONG,23,Pass,RPO,GLANCE,IZ,R,,POST,,Incomplete,,,,3,,OVER,,,,5OC,242,,,,
LVC,D,11,1,2,,,3,6,-42,6,,MIDFIELD,,10,T OUT,EMPTY,LT,,EMPTY,32,Pass,,5 STEP,,L,,WHIP DIG,,Complete,,Y,5,3,50 MAN,OVER,,,,7LG,207,,,,
LVC,D,12,1,2,,,4,1,-48,0,DOWNS,MIDFIELD,,11,,TOM OFF,RT,,WK,31,Run,,IZ,BASE,L,,,,Rush,,T,,0,,OVER,,,,,,,,,
LVC,D,20,1,4,,,1,10,-30,3,,UPFIELD,,11,,TOM,RT,,PISTOL,31,Pass,,PAP,POWER,R,,OVER,,Scramble,,Q,,3,,OVER,,,,,,ROOP,,,
LVC,D,21,1,4,,,2,7,-33,0,,UPFIELD,,12,,TEX UND,LT,,I,31,Run,,IZ,BASE,L,,,,Rush,,T,,1,,OVER,,,,,,,,,
LVC,D,22,1,4,,,3,7,-33,0,PUNT,UPFIELD,,10,S ACROSS,TRIPS,LT,,WK,31,Pass,,5 STEP,,L,,CURL VERT,,Scramble,,Q,,2,,OVER,,,,,,ROOP,,,
LVC,D,28,1,6,,,1,10,-36,2,,UPFIELD,,10,,DBLS,LT,,WK,23,Pass,,5 STEP,,R,,CROSS,,Scramble,,Q,,2,,OVER,,,,,,ROOP,,,
LVC,D,29,1,6,,,2,8,-38,3,,UPFIELD,,11,,WOLF OFF,RT,,WK,22,Run,,INV VEER,,L,,,,Rush,,Q,,1,,OVER,,,,,,,,,
LVC,D,30,1,6,,,3,5,-41,10,,MIDFIELD,,11,,TREY,RT,,WK,31,Run,,Q DRAW,,L,,,,Rush,,Q,,3,,OVER,,,,,,,,,
