OPP TEAM,ODK,PLAY #,QTR,SERIES,HASH,T & 10,DN,DIST,YARD LN,GN/LS,SERIES END,FZ,SIT,PERSONNEL,MOTION,OFF FORM,FORM LT/RT,FIB,BACKFIELD,FORM CODE,PLAY TYPE,PLAY TYPE 2,OFF PLAY,RUN TAG,PLAY DIR,SCR TAG,ROUTE CONCEPT,ROUTE 2,RESULT,GAP,BC,PASS ZONE,COVERAGE,PROTECTION (D),DEF FRONT,STUNT,BLITZ,POST SACK,LAUNCH PT,LAUNCH TIME,ESCAPE PTS,2&10,PEN +/-,PENALTY
LVC,D,31,1,6,,,1,10,49,0,,MIDFIELD,,11,T JUMP,TOM CON,RT,,WK,31,Pass,,5 STEP,,L,,FLOOD,,Complete,,T,1,1,63AF,OVER,,,,5OC,206,,,,
LVC,D,32,1,6,,,2,10,49,-4,,MIDFIELD,,10,,DBLS CON,RT,,STRONG,22,Pass,,5 STEP,,L,,FLOOD,,Sack,,,,6,63AB,OVER,,,,,,,,,
LVC,D,35,1,6,,,3,14,-47,0,PUNT,MIDFIELD,,11,J ACROSS,TOM OFF,LT,YES,STRONG,31,Pass,,5 STEP,,L,,SWITCH VERT,,Incomplete,,,,4,SPRINT,OVER,,,,7LT,243,,,,
LVC,D,41,1,8,,,1,10,-47,3,,MIDFIELD,,11,,TOM,LT,,WK,31,Run,,IZ,READ,L,,,,Rush,,Q,,3,,OVER,,,,,,,,,
LVC,D,42,1,8,,,2,8,50,9,,MIDFIELD,,11,,TOM,LT,,WK,31,Pass,,5 STEP,,L,,CURL SHALLOW,,Complete,,Y,2,6,63AF,OVER,,,,60C,166,,,,
LVC,D,43,1,8,,,1,10,41,0,,MIDFIELD,,11,,TOM,LT,,STRONG,31,Run,,INV VEER,,L,,,,Rush,,Q,,,,OVER,,,,,,,,,
LVC,D,44,1,8,,,2,10,41,14,,MIDFIELD,,11,,TREY,RT,,WK,31,Run,,Q DRAW,,L,,,,Rush,,Q,,,,OVER,,,,,,,,,
LVC,D,45,1,8,,,1,10,28,6,,GREEN ZONE,,11,,TIGHT BUNCH,LT,,STRONG,31,Run,,IZ,CRACK,L,,,,Rush,,T,,,,OVER,,,,,,,,,
LVC,D,46,1,8,,,2,10,22,2,,RED ZONE,,11,,TIGHT BUNCH,RT,,WK,31,Run,,IZ,READ,R,,,,Rush,,Q,,,,OVER,,,,,,,,,
LVC,D,47,1,8,,,3,3,20,0,,RED ZONE,,11,,TOM OFF,RT,,STRONG,31,Run,,IZ,READ,L,,,,Rush,,Q,,,,OVER,,,,,,,,,
LVC,D,48,2,8,,,4,3,20,0,DOWNS,RED ZONE,,11,,TOM,RT,,WK,31,Run,,Q OZ,,L,,,,Rush,,Q,,,,OVER,,,,,,,,,
LVC,D,54,2,10,,,1,10,-42,-2,,MIDFIELD,,11,,TOM OFF,LT,,WK,31,Run,,COUNTER,,R,,,,Rush,,T,,,,OVER,,,,,,,,,
LVC,D,55,2,10,,,2,12,-40,0,,MIDFIELD,,11,,WOLF OFF,RT,,STRONG,23,Pass,,5 STEP,,L,,FLOOD,,Incomplete,,X,2,3,63AF,OVER,,,,7RG,235,,,,
LVC,D,56,2,10,,,3,12,-40,0,PUNT,MIDFIELD,,11,,TOM OFF,LT,,STRONG,31,Pass,,5 STEP,,L,,VERT DIG,,Incomplete,,J,8,2,60TF,UNDER,,,,7OC,251,,,,
LVC,D,70,2,12,,,1,10,-23,8,,UPFIELD,,11,,WOLF OFF,LT,,WK,22,Pass,,3 STEP,,R,,SLANT,,Complete,,J,2,6,60AB,OVER,,,,5OC,135,,,,
LVC,D,72,2,12,,,2,2,-31,4,,UPFIELD,,11,,TIGHT BUNCH,RT,,STRONG,31,Run,,IZ,CRACK,R,,,,Rush,,T,,,,OVER,,,,,,,,,
LVC,D,73,2,12,,,1,10,-35,2,,UPFIELD,,11,,WOLF OFF,RT,,PISTOL,22,Run,,OZ,,R,,SLANT,,Rush,,T,1,6,63ABS,OVER,,,,5OC,135,,,,
LVC,D,74,2,12,,,2,8,-37,7,,UPFIELD,,11,,WOLF OFF,RT,,WK,22,Pass,,3 STEP,READ,L,,SLANT,,Complete,,Z,1,6,63ABS,OVER,,,,5OC,135,,,,
LVC,D,75,2,12,,,3,1,-44,2,,MIDFIELD,,11,,WOLF OFF,LT,,STRONG,23,Run,,IZ,READ,R,,HITCH VERT,,Rush,,T,3,1,,OVER,,,,5OC,158,,,,
LVC,D,76,2,12,,,1,10,-46,14,,MIDFIELD,,10,,DBLS,RT,,STRONG,22,Pass,,3 STEP,,R,,HITCH VERT,,Complete,,Z,3,1,62ABS,OVER,,,,5OC,158,,,,
LVC,D,77,2,12,,,1,10,40,20,,MIDFIELD,,11,,TOM,LT,,PISTOL,31,Pass,,PAP,POWER,R,,OVER,,Complete,,J,9,3,,OVER,,,,3RG,351,,,,
LVC,D,78,2,12,,,1,10,20,1,,RED ZONE,,11,,TOM,LT,,WK,31,Run,,IZ,READ,L,,T SCREEN,,Rush,,T,2,2,,OVER,,,,9RG,,,,,
LVC,D,79,2,12,,,2,9,19,0,,RED ZONE,,11,Y HIP,TOM,LT,,STRONG,31,Pass,,T SCREEN,,L,,T SCREEN,,Incomplete,,T,2,2,SCREEN,OVER,,,,9RG,251,ROOP,,,
LVC,D,80,2,12,,,3,9,19,9,TD,RED ZONE,,11,Y HIP,TOM OFF,LT,,STRONG,31,Pass,,5 STEP,READ,L,,VERT SWITCH,,Scramble,,Q,,1,60AF,OVER,,,,,,ROOP,,,
LVC,D,81,2,12,,,1,5,5,5,TD,GOALLINE,,20,,FOX,LT,,GUN SPLIT KING,21,Run,,IZ,READ,L,,,,Rush,,Q,,,,OVER,,,,,,,,,
LVC,D,90,2,14,R,,1,10,-32,16,,UPFIELD,,10,,DBLS,RT,,STRONG,22,Pass,,3 STEP,,R,,HITCH VERT,,Complete,,Z,3,3,60ABS,OVER,,,,5OC,145,LOOP,,,
LVC,D,91,2,14,R,,1,10,-48,6,,MIDFIELD,,11,,TOM OFF,LT,,STRONG,31,Pass,,SOP,,L,,FLOOD,,Complete,,Y,1,6,SPRINT,OVER,,,,8LOOP,205,LOOP,,,
LVC,D,92,2,14,,,2,4,46,0,,MIDFIELD,,11,,TOM OFF,RT,,WK,31,Pass,,3 STEP,,R,,HITCH,,Incomplete,,,,6,62AF,OVER,,,,7OC,183,RB,,,
LVC,D,93,2,14,,,3,4,46,2,,MIDFIELD,,11,,TREY,LT,,STRONG,31,Pass,,5 STEP,,R,,MESH,,Scramble,,,2,3,60AF,OVER,,,,7OC,,RB,,,
LVC,D,94,2,14,,,4,2,44,0,DOWNS,MIDFIELD,,11,,TREY,RT,,STRONG,31,Pass,,5 STEP,,L,,MESH,,Incomplete,,,2,1,62AF,OVER,,,,7OC,190,,,,
LVC,D,100,3,16,,,1,10,-23,1,,UPFIELD,,11,,TIGHT BUNCH,LT,,STRONG,31,Run,,IZ,CRACK,L,,SPACING,,Rush,,T,6,2,,OVER,,,,6ROOP,366,ROOP,,,
LVC,D,101,3,16,,,2,9,-24,0,,UPFIELD,,11,,TIGHT BUNCH,RT,,WK,31,Pass,,5 STEP,,R,,SPACING,,Complete,,J,6,2,62AF,OVER,,,,6ROOP,366,ROOP,,,
LVC,D,102,3,16,,,3,9,-24,0,PUNT,UPFIELD,,10,,DBLS,RT,,WK,23,Pass,,5 STEP,,R,,CROSS,,Incomplete,,,9,2,62AF,OVER,,,,6ROOP,470,ROOP,,,
LVC,D,109,3,18,L,,1,10,-26,4,,UPFIELD,,11,,TIGHT BUNCH,RT,,STRONG,31,Run,,COUNTER,READ,L,,FLOOD,,Rush,,T,1,3,,OVER,,,,6LOOP,,LOOP,,,
LVC,D,110,3,18,L,,2,7,-30,4,,UPFIELD,,11,,TOM OFF,LT,,STRONG,31,Pass,,SOP,CRACK,L,,FLOOD,,Complete,,Y,1,3,SPRINT,OVER,,,,6LOOP,197,LOOP,,,
LVC,D,111,3,18,,,3,2,-34,11,,UPFIELD,,11,,TIGHT BUNCH,RT,,STRONG,31,Run,,IZ,CRACK,R,,FLOOD,,Rush,,T,6,1,,OVER,,,,5ROOP,,ROOP,,,
LVC,D,112,3,18,,,1,10,-45,0,,MIDFIELD,,11,,TOM OFF,RT,,STRONG,31,Pass,,SOP,,R,,FLOOD,,Incomplete,,Q,6,1,SPRINT,OVER,,,,5ROOP,333,ROOP,,,
LVC,D,113,3,18,,,2,10,-45,3,,MIDFIELD,,11,,TOM OFF,RT,,WK,31,Run,,Q COUNTER,,L,,HITCH,,Rush,,Q,,1,,OVER,,,,,,LB,,,
LVC,D,114,3,18,,,3,8,-48,0,PUNT,MIDFIELD,,11,,TOM,RT,,WK,31,Pass,,3 STEP,,R,,HITCH,,Scramble,,Q,,1,63AF,OVER,,,,,,LB,,,
LVC,D,120,3,19,L,,1,10,28,-1,,GREEN ZONE,,11,,TIGHT BUNCH,RT,,WK,31,Run,,INV VEER,BASE,R,,SPACING,,Rush,,Q,2,1,,OVER,,,,9RG,,,,,
LVC,D,121,3,19,L,,2,11,29,0,,GREEN ZONE,,11,,TIGHT BUNCH,RT,,WK,31,Pass,,5 STEP,BASE,R,,SPACING,,Incomplete,,Q,2,1,63AF,OVER,,,,9RG,305,,,,
LVC,D,122,3,19,L,,3,11,29,0,MISSED FG,GREEN ZONE,,11,,TOM OFF,RT,,WK,31,Run,,Q DRAW,,L,,SPACING,,Rush,,,2,0,,OVER,,,,9RG,,,,,
LVC,D,130,3,21,L,,1,10,-31,2,,UPFIELD,,11,Y ACROSS,WOLF OFF CUT,RT,,WK,22,Run,,INV VEER,,R,,CURL DRIVE,,Rush,,T,3,1,,OVER,,,,7RG,,,,,
LVC,D,131,3,21,L,,2,8,-33,0,,UPFIELD,,11,J ACROSS,TOM OFF,LT,,WK,31,Pass,,5 STEP,,R,,CURL DRIVE,,Incomplete,,T,3,1,63AF,OVER,,,,7RG,258,,,,
LVC,D,132,3,21,L,,3,8,-33,0,PUNT,UPFIELD,,11,J ACROSS,TOM OFF,LT,,STRONG,31,Pass,,T SCREEN,,R,,T SCREEN,,Incomplete,,,3,1,SCREEN,UNDER,,,,12LOOP,247,,,,
LVC,D,142,3,23,R,,1,10,-33,19,,UPFIELD,,10,,DBLS,RT,,STRONG,22,Run,,Q DRAW,,R,,HITCH VERT,,Rush,,Q,,1,,OVER,,,,,,LOOP,,,
LVC,D,143,3,23,,,1,10,48,2,,MIDFIELD,,10,,DBLS,RT,,WK,23,Pass,,3 STEP,,L,,HITCH VERT,,Scramble,,Q,,1,62AFS,OVER,,,,,,LOOP,,,
LVC,D,144,3,23,,,2,8,46,-6,,MIDFIELD,,11,,TIGHT BUNCH,RT,,STRONG,31,Pass,,PAP,IZ,R,,OVER,,Sack,,,1,3,62AB,OVER,,,,8OC,,LOOP,,,
LVC,D,145,3,23,,,3,14,-48,0,PUNT,MIDFIELD,,11,,TOM OFF,LT,,WK,31,Pass,,3 STEP,,L,,HITCH,,Incomplete,,,1,1,60TF,UNDER,,,,8OC,236,,,,
LVC,D,155,4,26,,,1,10,-46,16,,MIDFIELD,,11,,TOM OFF,LT,,WK,31,Pass,,5 STEP,,R,,DRIVE CROSS,,Complete,,X,9,2,52AF,OVER,,,,7OC,214,,,,
LVC,D,156,4,26,,,1,10,38,0,INT,GREEN ZONE,,11,,WOLF OFF,RT,,WK,22,Pass,,3 STEP,,L,,SLANT,,Interception,,X,1,2,62ABS,OVER,,,,5OC,118,,,,
LVC,D,169,4,28,R,,1,10,-26,3,,UPFIELD,,11,,TOM OFF,LT,,STRONG,31,Pass,,SOP,,L,,FLOOD,,Complete,,Y,1,2,SPRINT,OVER,,,,6LOOP,260,LOOP,,,
LVC,D,170,4,28,,,2,7,-29,6,,UPFIELD,,11,,WOLF OFF,LT,,STRONG,23,Pass,,5 STEP,,R,,HITCH VERT,,Complete,,J,2,6,63AF,OVER,,,,7OC,186,LOOP,,,
LVC,D,171,4,28,,,3,1,-35,-1,,UPFIELD,,11,,WOLF OFF,RT,,WK,22,Run,,INV VEER,IZ,L,,HITCH VERT,,Rush,,Q,3,2,,OVER,,,,8ROOP,207,ROOP,,,
LVC,D,172,4,28,,,4,2,-34,0,,UPFIELD,,11,,TOM OFF,RT,,STRONG,31,Pass,,SOP,,R,,FLOOD,,Complete,,Y,3,2,SPRINT,OVER,,,,8ROOP,207,ROOP,,,
LVC,D,173,4,28,,,1,10,-43,0,,MIDFIELD,,11,,WOLF OFF,RT,,STRONG,23,Pass,,PAP,IZ,R,,DRIVE CROSS,,Incomplete,,T,9,3,62AF,OVER,,,,7ROOP,415,ROOP,,,
LVC,D,174,4,28,,,2,10,-43,5,,MIDFIELD,,11,,TOM OFF,LT,,STRONG,31,Pass,,5 STEP,,R,,MESH,,Complete,,T,3,1,62AF,OVER,,,,3RG,285,RB,,,
LVC,D,175,4,28,R,,3,5,-48,5,PUNT,MIDFIELD,,11,,WOLF OFF,RT,,STRONG,23,Pass,,5 STEP,,L,,COMEBACK VERT,,Interception,,T,6,1,62AF,OVER,,,,R6ROOP,335,ROOP,,,
LVC,D,181,4,30,M,,1,10,-3,21,,BACKED UP,,11,,TOM OFF,LT,,WK,31,Pass,,5 STEP,,R,,CURL SHALLOW,COMEBACK,Complete,,X,6,6,52AB,OVER,,,,8RT,285,LOOP,,,
LVC,D,182,4,30,,,1,10,-24,0,,UPFIELD,,11,,TOM OFF,LT,,STRONG,31,Pass,,SOP,,L,,SWITCH VERT,COMEBACK,Sack,,Y,2,2,SPRINT,OVER,,,,8RG,,LOOP,,,
LVC,D,183,4,30,,,2,10,-24,14,,UPFIELD,,11,,TREY,LT,,STRONG,31,Pass,,5 STEP,,R,,MESH,COMEBACK,Complete,,Y,2,6,62AF,OVER,,,,8RG,279,LOOP,,,
LVC,D,184,4,30,,,1,10,-38,0,,UPFIELD,,11,,TREY,RT,,STRONG,31,Pass,,5 STEP,,L,,VERT,,Incomplete,,Y,7,6,62AF,OVER,,,,7OC,305,ROOP,,,
LVC,D,185,4,30,,,2,10,-38,0,,UPFIELD,,11,,TOM OFF,LT,,WK,31,Pass,,5 STEP,,L,,HITCH,DIG,Incomplete,,,6,6,62AF,OVER,,,,9ROOP,535,ROOP,,,
LVC,D,186,4,30,L,,3,10,-38,0,,UPFIELD,,10,,TRIPS,LT,,WK,31,Pass,,5 STEP,,R,,SPIN DIG,,Incomplete,,,6,1,62AF,OVER,,,,8OC,237,ROOP,,,
LVC,D,187,4,30,L,,4,10,-38,0,DOWNS,UPFIELD,,11,,TOM OFF,LT,,WK,31,Pass,,5 STEP,,R,,COMEBACK VERT,,Incomplete,,,6,3,63AF,UNDER,,,,7RG,282,,,,
Lycoming,D,3,1,1,L,,1,10,-23,5,,UPFIELD,,11,Y TRADE,UNB TOM QUADS,RT,,WK,,Run,,OZ,,R,,,,Rush,E-Alley,T,,3,,OVER,,,,,,,,,
Lycoming,D,4,1,1,R,,2,5,-28,-1,,UPFIELD,,11,,FOX,RT,,QUEEN,21,Run,,POWER,,R,,,,Rush,C,T,,3,,OVER,,,,,,,,,
Lycoming,D,5,1,1,R,,3,6,-27,0,PUNT,UPFIELD,,11,,WOLF OFF,RT,,STRONG,23,Pass,,5 STEP,,L,,DIG,VERT,Incomplete,,,5,2,62AF,OVER,,,,7OC,222,,,,
Lycoming,D,10,1,3,R,,1,10,-44,18,,MIDFIELD,,12,S ACROSS,TOM TY,RT,YES,STRONG,13,Run,,IZ,,,,,,Rush,D,T,,,,OVER,,,,,,,,,
Lycoming,D,11,1,3,R,,1,10,38,-6,,GREEN ZONE,,12,,SLOT TY,RT,,PISTOL,22,Pass,,PAP,COUNTER,R,,COMEBACK,VERT/DIG,Sack,,Q,,3,WAGGLE,OVER,,,,,,,,,
Lycoming,D,12,1,3,R,,2,16,44,10,,MIDFIELD,,10,T UP,EMPTY 32,LT,,EMPTY,,Pass,,5 STEP,,L,,HITCH,DIG,Complete,,S,4,2,52B,OVER,,,,7OC,197,,,,
Lycoming,D,14,1,3,L,,3,11,39,27,,GREEN ZONE,,11,,WOLF OFF,LT,,WK,22,Pass,,5 STEP,,R,,VERT,COMEBACK,Complete,,S,8,3,60AB,UNDER,,,,6OC,216,,,,
Lycoming,D,15,1,3,R,,1,10,12,2,,RED ZONE,,11,Y ACROSS,TOM OFF,LT,,PISTOL,31,Pass,,SOP THROWBACK,,R,,CROSS/VERT,T WHEEL,Complete,,T,3,0,WAGGLE,OVER,,,,8LT,281,,,,
Lycoming,D,16,1,3,R,,2,8,10,2,,RED ZONE,,11,,TOM OFF STACKED,LT,,STRONG,31,Run,,COUNTER,,R,,,,Rush,C,T,,,,OVER,,,,,,,,,
Lycoming,D,17,1,3,R,,3,6,8,0,FG,RED ZONE,,11,,TREY,RT,,WK,31,Pass,,5 STEP,,R,,VERT,,Sack,,Q,,1,62AB,OVER,,,,,,,,,
Lycoming,D,21,1,4,L,,1,10,-43,4,,MIDFIELD,,11,,TOM OFF STACKED,RT,,STRONG,31,Pass,RPO,NOW,IZ,R,SMOKE,NOW,,Complete,,S,3,2,,OVER,,,,5OC,113,,,,
Lycoming,D,22,1,4,R,,2,6,-47,4,,MIDFIELD,,11,,TOM OFF,RT,YES,STRONG,13,Pass,,5 STEP,,R,,SWITCH COMEBACK,,Complete,,Z,6,3,62AF,OVER,,,,9RT,447,,,,
Lycoming,D,23,1,4,R,,3,2,49,1,,MIDFIELD,,12,,ACE OFF UND,LT,,I,22,Run,,DIVE,,R,,,,Rush,A,T,,,,OVER,,,,,,,,,
Lycoming,D,24,1,4,R,,4,1,48,9,,MIDFIELD,,12,,ACE UND,LT,,DOT,22,Run,,OZ,,R,,,,Rush,D,T,,,,OVER,,,,,,,,,
Lycoming,D,25,1,4,R,,1,10,39,-2,,GREEN ZONE,,12,TOUT,EMPTY,RT,,EMPTY,,Run,,Q IZ,,R,,,,Rush,A,Q,,,,OVER,,,,,,,,,
Lycoming,D,26,1,4,R,,2,12,41,1,,MIDFIELD,,11,,WOLF OFF,RT,,WK,22,Pass,,SOP,,L,,COMEBACK,,Scramble,,Q,,2,SPRINT,OVER,,,,,,LOOP,,,
Lycoming,D,27,1,4,L,,3,11,40,4,,MIDFIELD,,11,,TOM CON,RT,,WK,31,Pass,,5 STEP,,R,,VERT,DRAG,Complete,,S,2,2,50 MAN,UNDER,,,,4OC,297,,,,
Lycoming,D,28,1,4,L,,4,7,36,7,,GREEN ZONE,,11,,TOM,RT,,STRONG,31,Pass,,5 STEP,,R,,HITCH,,Complete,,S,5,3,60AB,UNDER,,,,5OC,172,,,,
Lycoming,D,29,1,4,R,,1,10,29,0,INT,GREEN ZONE,,11,,WOLF OFF,RT,,STRONG,23,Pass,RPO,PAP,IZ,R,,GLANCE,,Interception,,,6,3,,OVER,,,,5OC,156,,,,
Lycoming,D,34,1,6,R,,1,10,-42,-2,,MIDFIELD,,11,Y TRADE,UNB TOM QUADS,LT,,WK,,Run,,OZ,,L,,,,Rush,E-Alley,T,,,,OVER,,,,,,,,,
Lycoming,D,35,1,6,L,,2,12,-40,0,,MIDFIELD,,11,,TIGHT BUNCH,RT,,WK,31,Pass,,5 STEP,,R,,SPACING,,Incomplete,,S,5,2,63AF,OVER,,,,4OC,250,,,,
Lycoming,D,36,1,6,L,,3,12,-40,20,,MIDFIELD,,11,Y ACROSS,WOLF OFF,LT,,STRONG,23,Pass,,5 STEP,,L,,VERT,,Complete,,Z,7,2,62AF,OVER,,,,7OC,209,,,,
Lycoming,D,38,2,6,L,,1,10,40,1,,MIDFIELD,,12,TOUT,EMPTY,RT,,EMPTY,,Run,,Q OZ,,L,,,,Rush,E-Alley,Q,,,,OVER,,,,,,,,,
Lycoming,D,39,2,6,L,,2,9,39,-2,,GREEN ZONE,,11,,TOM,RT,,WK,31,Pass,,5 STEP,,L,,COMEBACK DRAG,,Sack,,Q,,2,62TB,OVER,,,,,,,,,
Lycoming,D,40,2,6,L,,3,11,41,0,INT,MIDFIELD,,11,,TOM,RT,,WK,31,Pass,,5 STEP,,L,,VERT,OUT,Interception,,Z,7,2,63AF,OVER,,,,7OC,213,,,,
Lycoming,D,50,2,8,R,,1,10,-25,6,,UPFIELD,,11,,TIGHT BUNCH,LT,,STRONG,31,Run,,IZ,,R,,,,Rush,A,T,,,,OVER,,,,,,,,,
Lycoming,D,51,2,8,R,,2,4,-31,-1,,UPFIELD,,11,,FOX,LT,,WAGON,31,Run,,IZ,BASE,R,,,,Rush,C,T,,,,OVER,,,,,,,,,
Lycoming,D,52,2,8,R,,3,5,-30,1,,UPFIELD,,10,TOUT,EMPTY,LT,,EMPTY,,Pass,,5 STEP,,L,,HITCH,DIG,Complete,,S,4,2,50 MAN,OVER,,,,3LG,319,,,,
Lycoming,D,53,2,8,L,,3,4,-31,0,PUNT,UPFIELD,,10,TOUT,EMPTY,RT,,EMPTY,,Pass,,5 STEP,,R,,WHIP,VERT,Incomplete,,,6,2,50 MAN,OVER,,,,7OC,197,,,,
Lycoming,D,68,2,11,M,,1,10,-24,-4,,UPFIELD,,11,,TREY,LT,,WK,31,Run,,COUNTER,,R,,,,Rush,C,T,,,,OVER,,,,,,,,,
Lycoming,D,69,2,11,M,,2,14,-20,13,,UPFIELD,,11,,TOM OFF CUT,LT,,WK,31,Pass,,5 STEP,,R,,MESH,,Complete,,Y,3,2,63AB,OVER,,,,4RT,319,,,,
Lycoming,D,70,2,11,R,,3,1,-33,0,PUNT,UPFIELD,,12,,ACE UND,LT,,DOT,22,Run,,OZ,,R,,,,Rush,E-Alley,T,,,,OVER,,,,,,,,,
Lycoming,D,80,2,13,L,,1,10,-19,0,,UPFIELD,,11,,TOM CUT,LT,,WK,31,Pass,,5 STEP,,R,,MESH,,Sack,,Q,,2,63TB,OVER,,,,,,,,,
Lycoming,D,81,2,13,L,,2,10,-19,0,INT,UPFIELD,,11,,WOLF OFF,LT,,WK,22,Pass,,5 STEP,,R,,VERT,COMEBACK,Scramble,,Q,,2,60AB,UNDER,,,,,,RB,,,
Lycoming,D,94,3,15,R,,1,10,-30,2,,UPFIELD,,12,S ACROSS,TOM TY,RT,YES,STRONG,13,Run,,,,,,,,Rush,A,T,,,,OVER,,,,,,,,,
Lycoming,D,95,3,15,R,,2,8,-32,6,,UPFIELD,,11,,WOLF OFF,RT,,WK,22,Pass,,3 STEP,,L,,SLANT,OUT,Complete,,X,4,2,62ABS,OVER,,,,5RG,144,,,,
Lycoming,D,96,3,15,L,,3,2,-38,0,PUNT,UPFIELD,,11,S ACROSS,TOM TY,RT,,STRONG,31,Pass,,SOP,,R,,HITCH,,Incomplete,,,6,0,SPRINT,OVER,,,,6ROOP,340,ROOP,,,
Lycoming,D,102,3,17,L,,1,10,-29,0,,UPFIELD,,11,,WOLF,LT,,PISTOL,22,Pass,,PAP,POWER,R,,POST CORNER,,Incomplete,,Z,7,3,,OVER,,,,6LG,340,,,,
Lycoming,D,103,3,17,L,,2,10,-29,3,,UPFIELD,,11,,WOLF OFF,LT,,WK,22,Pass,,3 STEP,,R,,SLANT,OUT,Complete,,X,3,2,62ABS,OVER,,,,5OC,256,,,,
Lycoming,D,104,3,17,R,,3,7,-32,0,PUNT,UPFIELD,,10,,TRIPS,LT,,WK,31,Pass,,5 STEP,,L,,DIG,WHIP,Sack,,Q,,3,62AF,OVER,,,,,,RB,,,
Lycoming,D,110,3,19,L,,1,10,-20,1,,UPFIELD,,11,,TOM OFF STACKED,RT,,STRONG,31,Run,RPO,IZ,,R,,,,Rush,A,T,,,,OVER,,,,,,,,,
Lycoming,D,111,3,19,R,,2,9,-21,2,,UPFIELD,,11,,TOM OFF,LT,,STRONG,31,Pass,,5 STEP,,R,,FLOOD,,Complete,,Y,3,2,62AB,OVER,,,,7LT,338,,,,
Lycoming,D,112,3,19,R,,3,7,-23,16,,UPFIELD,,11,,WOLF OFF,RT,,WK,22,Pass,,T SLIP SCREEN,,R,,T SCREEN,,Complete,,T,3,3,SCREEN,OVER,,,,9OC,190,,,,
Lycoming,D,113,3,19,R,,1,10,-39,0,,UPFIELD,,11,,WOLF OFF,RT,,WK,22,Pass,,3 STEP,,L,,SLANT,,Incomplete,,X,1,3,62ABS,OVER,,,,5OC,147,,,,
Lycoming,D,114,3,19,R,,2,10,-39,10,,UPFIELD,,11,,WOLF OFF,RT,,PISTOL,22,Pass,,PAP,POWER,L,,DIG,CURL,Incomplete,,,7,2,,OVER,,,,4LG,382,,,,D-Pass Interference
Lycoming,D,115,3,19,R,,1,10,-49,3,,MIDFIELD,,11,,TOM,LT,,WK,31,Run,RPO,IZ,,R,,,,Rush,A,T,,,,OVER,,,,,,,,,
Lycoming,D,116,3,19,R,,2,7,48,2,,MIDFIELD,,11,,TOM,LT,,WK,31,Run,,IZ,,R,,,,Rush,A,T,,,,OVER,,,,,,,,,
Lycoming,D,117,3,19,R,,3,5,46,0,,MIDFIELD,,11,,TOM CON,LT,,WK,31,Pass,,5 STEP,,R,,FLOOD,,Incomplete,,T,3,,53AF,OVER,,,,7OC,210,,,,
