OPP TEAM,ODK,PLAY #,QTR,SERIES,HASH,T & 10,DN,DIST,YARD LN,GN/LS,SERIES END,FZ,SIT,PERSONNEL,MOTION,OFF FORM,FORM LT/RT,FIB,BACKFIELD,FORM CODE,PLAY TYPE,PLAY TYPE 2,OFF PLAY,RUN TAG,PLAY DIR,SCR TAG,ROUTE CONCEPT,ROUTE 2,RESULT,GAP,BC,PASS ZONE,COVERAGE,PROTECTION (D),DEF FRONT,STUNT,BLITZ,POST SACK,LAUNCH PT,LAUNCH TIME,ESCAPE PTS,2&10,PEN +/-,PENALTY
KEYSTONE,D,35,1,3,R,,2,10,36,8,,GREEN ZONE,,1,,EMPTY,LT,,EMPTY,32,Pass,,5 STEP,,R,,MESH,COMEBACK,Complete,,X,6,3,60AB,,,,,8OC,,,,,
KEYSTONE,D,36,1,3,R,,3,2,28,10,,GREEN ZONE,,10,,DBLS,LT,,STRONG,22,Run,,Q ISO,,L,,,,Rush,C,Q,,,,,,,,,,,,,
KEYSTONE,D,37,1,3,R,,1,10,18,14,,RED ZONE,,11,,TOM OFF,LT,,WK,32,Run,,OZ,READ,L,,,,Rush,E-Alley,T,,,,,,,,,,,,,
KEYSTONE,D,38,1,3,L,,1,3,4,0,,GOALLINE,,21,,SLOT STACKED,LT,,WAGON,21,Pass,RPO,ISO,,R,,ROCKET,,Incomplete,,Z,6,0,,,,,,8RT,,,,,
KEYSTONE,D,39,2,3,L,,2,3,4,3,TD,GOALLINE,,31,,BONE,LT,,BONE,11,Run,,POWER,,L,,,,Rush,C,T,,,,,,,,,,,,,
KEYSTONE,D,47,2,4,M,T,1,10,-42,0,,MIDFIELD,,11,,TREY,LT,,STRONG,23,Pass,,PAP,IZ,R,,CHAIR,WHEEL,Incomplete,,Z,8,3,70TB,,,,,5OC,,,,,
KEYSTONE,D,48,2,4,M,,2,10,-42,0,,MIDFIELD,,10,,DBLS STACKED,LT,,WK,32,Pass,,5 STEP,,L,,SLANT,OUT,Incomplete,,J,1,2,61AB,,,,,6OC,,,,,
KEYSTONE,D,49,2,4,R,,3,10,-42,15,,MIDFIELD,,11,Y ACROSS,TOM OFF,RT,YES,WK,32,Pass,,5 STEP,,R,,VERTS,MESH,Complete,,X,3,2MAN,60AB,,,,,8OC,,,,,
KEYSTONE,D,50,2,4,R,,1,10,43,0,,MIDFIELD,,11,,TOM OFF,LT,,WK,32,Run,TRICK,FLEA FLICKER,,R,,VERT,,Incomplete,,X,,,,,,,,,,,,,
KEYSTONE,D,51,2,4,R,,1,20,-46,2,,MIDFIELD,,11,,TOM OFF,LT,,PISTOL,32,Run,RPO,IZ FOLD,,L,,,,Rush,A,T,,,,,,,,,,,,,
