OPP TEAM,ODK,PLAY #,QTR,SERIES,HASH,T & 10,DN,DIST,YARD LN,RESULT,GN/LS,FZ,SIT,PERSONNEL,MOTION,OFF FORM,FORM LT/RT,FIB,BACKFIELD,FORM CODE,PLAY TYPE,PLAY TYPE 2,OFF PLAY,RUN TAG,PLAY DIR,SCR TAG,ROUTE CONCEPT,ROUTE 2,BC,GAP,PASS ZONE,COVERAGE,PROTECTION (D),DEF FRONT,STUNT,BLITZ,POST SACK,SERIES END,LAUNCH PT,LAUNCH TIME,ESCAPE PTS,2&10,PEN +/-,PENALTY
HSC,D,36,1,6,R,,2,3,14,Rush,2,RED ZONE,,11,,TOM OFF,RT,YES,STRONG,31,Run,,ISO,,R,,,,T,A,,,,UNDER,,,,,,,,,,
HSC,D,37,1,6,M,,3,1,12,Rush,0,RED ZONE,,12,,TEX,RT,,STRONG,31,Run,,IZ,READ,L,,,,T,A,,,,UNDER,,,,,,,,,,
HSC,D,38,1,6,L,,4,1,12,Rush,0,RED ZONE,,12,,TEX,LT,,WK,31,Run,,IZ,,L,,,,T,A,,,,UNDER,,,,TOD,,,,,,
HSC,D,43,1,8,R,,1,10,-47,Complete,12,MIDFIELD,,11,,TOM OFF,RT,YES,STRONG,31,Pass,RPO,ISO,,R,,SPEED OUT,BUBBLE,Z,,4,3,70AF,UNDER,,,,,5OC,159,,,,
HSC,D,44,1,8,L,,1,10,41,Rush,11,MIDFIELD,,11,,TOM OFF,LT,YES,STRONG,31,Run,,ISO,,L,,,,T,B,,,,UNDER,,,,,,,,,,
HSC,D,45,1,8,R,,1,10,30,,0,GREEN ZONE,,10,,TRIPS,RT,,STRONG,31,,,,,,,,,,,,,,,,,,,,,,,,
HSC,D,46,2,8,L,,1,10,30,Complete,3,GREEN ZONE,,10,,TRIPS,RT,,STRONG,31,Pass,,3 STEP,,R,,SLANTS,BUBBLE,S,,3,3,60ABS,UNDER,,,,,50C,219,,,,
HSC,D,47,2,8,R,,2,7,27,Incomplete,0,GREEN ZONE,,10,,TRIPS,LT,,STRONG,31,Pass,,PAP,IZ,R,,SLANT VERT,,,,7,3,60AB,UNDER,,,,,5LG,231,,,,
HSC,D,48,2,8,R,,3,7,27,Sack,-6,GREEN ZONE,,10,,DBLS,LT,,STRONG,22,Pass,,5 STEP,,L,,VERTS,OUT,,,,3,60AB,UNDER,,,,SACK TOD,7OC,,,,,
HSC,D,61,2,10,L,,1,10,-20,Complete,6,UPFIELD,,11,,WOLF OFF,RT,,STRONG,22,Pass,RPO,ISO,,R,,BUBBLE/SLANT,SPEED OUT,Z,,3,3,70AB,UNDER,,,,,5OC,166,,,,
HSC,D,62,2,10,R,,2,4,-26,Complete,9,UPFIELD,,11,,WOLF OFF,LT,,STRONG,22,Pass,RPO,ISO,,L,,BUBBLE/SLANT,SPEED OUT,Z,,4,3,70AB,UNDER,,,,,8OC,213,,,,
HSC,D,63,2,10,L,,1,10,-35,Rush,2,UPFIELD,,10,,TRIPS,RT,,STRONG,31,Run,,IZ,READ,L,,,,T,A,,,,UNDER,,,,,,,,,,
HSC,D,64,2,10,L,,2,8,-37,Incomplete,0,UPFIELD,,10,,TRIPS,RT,,STRONG,31,Pass,,5 STEP,,L,,VERTS,,,,7,3,60AB,UNDER,,,,,7OC,247,,,,
HSC,D,65,2,10,L,,3,8,-37,Scramble,10,UPFIELD,,10,T JUMP,TRIPS,RT,,STRONG,31,Pass,,5 STEP,,R,,VERT/DIG,OUT,,,,3,60AB,UNDER,,,,,,,RB,,,
HSC,D,66,2,10,M,,1,10,-47,Complete,8,MIDFIELD,,11,,WOLF OFF,RT,,STRONG,22,Pass,RPO,ISO,,R,,BUBBLE/SLANT,SPEED OUT,X,,6,3,70AF,UNDER,,,,,5OG,147,,,,
HSC,D,67,2,10,R,,2,2,45,Rush,9,MIDFIELD,,11,,WOLF OFF,RT,,STRONG,22,Run,,ISO,,R,,,,T,A,,,,,,,,,,,,,,
