OPP TEAM,ODK,PLAY #,QTR,SERIES,HASH,DN,DIST,YARD LN,FZ,SIT,PERSONNEL,MOTION,OFF FORM,FORM LT/RT,FIB,BACKFIELD,FORM CODE,PLAY TYPE,PLAY TYPE 2,OFF PLAY,RUN TAG,PLAY DIR,SCR TAG,GAP,ROUTE CONCEPT,ROUTE 2,RESULT,BC,PASS ZONE,COVERAGE,PROTECTION (D),DEF FRONT,STUNT,BLITZ,GN/LS,SERIES END,PENALTY
King's College,D,67,2,6,R,2,16,-44,UPFIELD,,21,,SLOT CUT,RT,,KING,21,Run,SCR,IZ,LOCK,R,F FLAT,B,,,,T,,7,,OVER,UNO,,2,,
King's College,D,68,2,6,R,3,14,-46,UPFIELD,,10,,DOUBLES CUT,LT,,STRONG,22,Pass,,5 STEP,,,,,INV SMASH,SLIDE,Incomplete,J,3,2 MAN,,WIDE,OCHO,,0,PUNT,
King's College,D,74,2,7,R,0,10,-32,UPFIELD,,21B,YOP,TOM OFF CUT,LT,,STRONG,41,Pass,,5 STEP,,,,,SWITCH WHIP,OUT,Complete,X,6,CLAM,6T2F,FAR,UNO,,7,,
King's College,D,75,2,7,R,2,3,-39,UPFIELD,,21B,YOYIN,FOX,RT,,WAGON,21,Run,RPO,POWER,,R,,D,HITCHES,GO,,T,,7,,FAR,TRES,,4,,
King's College,D,76,2,7,R,1,10,-43,UPFIELD,,21B,YOYO,WOLF OFF CUT,RT,,WEAK,22,Pass,,5 STEP,,,,,VERT SWITCH,VERTS,Penalty,Z,9,SOLO,5T2F,FAR,,,14,,
King's College,D,77,2,7,R,2,10,43,UPFIELD,,21B,YOYIN,FOX CUT,LT,,QUEEN,21,Pass,,PAP,IZ,R,,,HITCH AND GO,GLANCE,Complete,Z,9,7,7T2FS,FAR,OCHO,,25,,
King's College,D,78,2,7,L,1,10,18,RED ZONE,,21,,WOLF OFF,LT,,WEAK,22,Pass,,5 STEP,,,,,VERTS,VERT SWITCH,Interception,X,9,7,6T2F,FAR,UNO,,0,INT,
King's College,D,82,2,8,L,0,2,2,GOALLINE,,21,YOP,PRO OFF,LT,YES,QUEEN,12,Run,RPO,POWER,,R,,A,FADE,,,T,,MATCH,,FAR,,SHELL,1,,
King's College,D,83,2,8,L,2,1,1,GOALLINE,,21,YOP,PRO OFF,LT,YES,WAGON,12,Run,RPO,POWER,,L,,A,FADE,,,T,,MATCH,,SKID,,SMOKE,1,TD,
King's College,D,96,3,9,M,0,10,-25,UPFIELD,,11,,WOLF OFF,RT,,WEAK,22,Run,RPO,COUNTER,,L,,A,HITCHES,GO,,T,,7,,OVER,DRIVE,,2,,
King's College,D,97,3,9,L,2,8,-27,UPFIELD,,11,,WOLF OFF,LT,,WEAK,22,Run,RPO,OZ,,L,BUB,C,,,,T,,SOLO,,FAR,,SHELL,-13,,
King's College,D,98,3,9,L,2,21,-14,BACKED UP,,11,,WOLF OFF,LT,,WEAK,22,Pass,,5 STEP,,,,,COMEBACK,BENCH,Scramble,Q,,7,,WIDE,CUATRO,,0,,
King's College,D,99,3,9,L,3,21,-14,BACKED UP,,11,,WOLF OFF,LT,,WEAK,22,Pass,,5 STEP,,,,,CROSS,GO,Complete,Z,9,2 MAN,,CAT,,,24,,
King's College,D,100,3,9,L,1,10,-38,UPFIELD,,11,,FOX,RT,,QUEEN,21,Run,,POWER,,L,,D,,,,T,,2 MAN,,TIGER,,,-1,,
King's College,D,101,3,9,L,2,11,-37,UPFIELD,,11,,WOLF OFF,LT,,WEAK,22,Run,RPO,COUNTER,,R,,A,CLEAR,GLANCE,,T,,7,,WIDE,CUATRO,,3,,
King's College,D,102,3,9,L,3,8,-40,UPFIELD,,11,,WOLF OFF,LT,,WEAK,22,Pass,RPO,COUNTER,,R,,,CLEAR,GO,Incomplete,J,7,7,,WIDE,CUATRO,,0,PUNT,
King's College,D,115,3,10,L,0,10,-33,UPFIELD,,11,,WOLF OFF CUT,LT,,WEAK,22,Pass,,PAP,IZ,L,,,SWITCH,COMEBACK,Complete,Z,6,7,7T2FS,FAR,,,11,,
